index,Word,Occurrences,Word Count By Book,Book of Acquisition,WF,Lg10WF,Lg10WF (SUBTLEX),CD,Lg10CD,Burstingness,Lg10B
392,Knut,"{5: [(9, 1), (12, 1), (14, 1), (26, 1), (27, 1)], 6: [(6, 2)], 7: [(21, 1)]}","{5: 5, 6: 2, 7: 1}",5,7.15154755019269e-06,-5.145599969417717,1.0,0.03535353535353535,-1.4515671502472742,83433.83333333333,4.921342197524481
397,cherry,"{3: [(10, 1)], 5: [(25, 1)], 6: [(7, 1)], 7: [(13, 1)]}","{3: 1, 5: 1, 6: 1, 7: 1}",3,3.575773775096345e-06,-5.446629965081698,2.8414,0.020202020202020204,-1.6946051989335686,255857.66666666666,5.407998434953407
400,mahogany,"{1: [(5, 1), (10, 1)], 6: [(11, 1)], 7: [(13, 1)]}","{1: 2, 6: 1, 7: 1}",1,3.575773775096345e-06,-5.446629965081698,1.5911,0.020202020202020204,-1.6946051989335686,480314.5,5.681525697559083
401,oak,"{1: [(5, 1), (6, 1), (9, 1), (15, 2)], 2: [(5, 1), (11, 1), (14, 1), (15, 2), (17, 1)], 3: [(3, 1), (5, 1), (11, 1), (21, 1)], 4: [(12, 1), (23, 1), (26, 1), (28, 2), (29, 1), (36, 1)], 5: [(7, 2), (9, 1), (11, 1), (22, 2), (24, 1), (25, 1), (26, 1), (33, 1)], 6: [(3, 1), (8, 1), (12, 1), (18, 2), (22, 1), (28, 2)], 7: [(19, 1)]}","{1: 5, 2: 6, 3: 4, 4: 7, 5: 10, 6: 8, 7: 1}",1,3.665168119473753e-05,-4.435906099689925,2.4579,0.1717171717171717,-0.765186273219276,28469.90322580645,4.454385990906363
404,yew,"{1: [(5, 2)], 4: [(32, 1), (33, 2)], 5: [(21, 1)], 7: [(1, 1), (24, 2), (32, 1)]}","{1: 2, 4: 3, 5: 1, 7: 4}",1,8.939434437740861e-06,-5.04868995640966,0.4771,0.03535353535353535,-1.4515671502472742,91821.42857142857,4.962944045300642
408,doxy,"{5: [(6, 6), (31, 1)], 6: [(11, 1)], 7: [(28, 1)]}","{5: 7, 6: 1, 7: 1}",5,8.045490993966776e-06,-5.094447446970335,0.6021,0.020202020202020204,-1.6946051989335686,79948.42857142857,4.9028099318788225
409,ghoul,"{2: [(3, 2), (4, 2), (12, 1)], 4: [(10, 1)], 5: [(6, 1)], 7: [(6, 4), (11, 1)]}","{2: 5, 4: 1, 5: 1, 7: 5}",2,1.0727321325289035e-05,-4.969508710362035,1.7243,0.03535353535353535,-1.4515671502472742,110548.0,5.043550889865245
411,Griffin,"{1: [(10, 1)], 2: [(11, 1)], 5: [(17, 1), (22, 2), (27, 1)]}","{1: 1, 2: 1, 5: 4}",1,5.363660662644517e-06,-5.2705387060260165,2.85,0.025252525252525252,-1.5976951859255124,37406.0,4.572941269523877
422,Sphinx,"{4: [(31, 5)], 6: [(1, 2)]}","{4: 5, 6: 2}",4,6.257604106418603e-06,-5.203591916395403,1.7243,0.010101010101010102,-1.99563519459755,74377.75,4.871443036386974
426,hag,"{1: [(5, 1)], 3: [(4, 1)], 4: [(12, 1), (16, 1)], 5: [(4, 1), (13, 1), (16, 1), (17, 1), (21, 2)], 6: [(21, 1)], 7: [(11, 1), (13, 1)]}","{1: 1, 3: 1, 4: 2, 5: 6, 6: 1, 7: 2}",1,1.162126476906312e-05,-4.934746604102823,1.9638,0.06060606060606061,-1.2174839442139063,87613.36363636363,4.942570354009247
