Word,Occurrences,Word Count By Book,WF (HP),Lg10WF (HP),CD (HP),Lg10CD (HP),Lg10WF (SUBTLEX),Book of Acquisition (HP)
squib,"{2: [(9, 5), (11, 1)], 5: [(2, 2), (8, 2), (28, 1)], 6: [(10, 1), (19, 1), (30, 1)], 7: [(8, 5), (11, 1), (18, 2)]}","{2: 6, 5: 5, 6: 3, 7: 8}",1.9666755763029898e-05,-4.706267275587454,0.05555555555555555,-1.255272505103306,0.9542,2
toad,"{1: [(5, 2), (6, 8), (7, 2), (10, 1), (16, 2), (17, 1)], 2: [(13, 2), (16, 1)], 3: [(5, 1), (7, 4), (11, 1)], 4: [(14, 2), (20, 1)], 5: [(8, 1), (10, 3), (12, 1), (13, 1), (15, 1), (19, 1), (23, 1), (28, 1), (32, 1)], 6: [(7, 1)], 7: [(11, 1)]}","{1: 16, 2: 3, 3: 6, 4: 3, 5: 11, 6: 1, 7: 1}",3.665168119473753e-05,-4.435906099689925,0.12121212121212122,-0.9164539485499251,2.4639,1
Howler,"{2: [(6, 6)], 3: [(14, 3)], 4: [(10, 1)], 5: [(2, 2), (3, 2), (30, 1), (37, 2)]}","{2: 6, 3: 3, 4: 1, 5: 7}",1.5197038544159465e-05,-4.818241035031386,0.03535353535353535,-1.4515671502472742,0.699,2
Bludger,"{1: [(10, 1), (11, 7), (13, 1)], 2: [(10, 33)], 3: [(9, 2), (13, 4), (15, 6)], 4: [(7, 1), (8, 4), (20, 1), (22, 1)], 5: [(13, 1), (14, 2), (18, 1), (19, 13), (26, 1)], 6: [(11, 1), (14, 4), (19, 2), (20, 1), (24, 1)], 7: [(31, 1)]}","{1: 9, 2: 33, 3: 12, 4: 7, 5: 18, 6: 9, 7: 1}",7.956096649589367e-05,-4.099299949764748,0.1111111111111111,-0.9542425094393249,0.8451,1
prophecy,"{5: [(22, 1), (35, 40), (36, 5), (37, 15), (38, 1)], 6: [(2, 3), (3, 5), (4, 5), (5, 7), (7, 4), (10, 4), (12, 1), (16, 1), (20, 1), (23, 15), (25, 7)], 7: [(33, 2)]}","{5: 62, 6: 53, 7: 2}",0.00010459138292156809,-3.9805040946634986,0.08585858585858586,-1.0662162688832573,2.5079,5
Fleur,"{4: [(16, 2), (17, 7), (18, 10), (19, 1), (20, 12), (22, 1), (23, 14), (26, 16), (28, 5), (31, 10), (35, 1), (37, 7)], 5: [(4, 1)], 6: [(5, 8), (6, 5), (7, 4), (14, 1), (16, 13), (17, 1), (29, 8), (30, 2)], 7: [(4, 8), (5, 7), (6, 8), (7, 2), (8, 13), (20, 2), (24, 8), (25, 15), (26, 3), (29, 1), (30, 5), (33, 2)]}","{4: 86, 5: 1, 6: 42, 7: 74}",0.0001814705190861395,-3.7411939184964473,0.16666666666666666,-0.7781512503836436,1.7559,4
garden,"{1: [(1, 4), (7, 1), (14, 1)], 2: [(1, 3), (2, 1), (3, 8), (8, 1), (11, 1)], 3: [(1, 1), (2, 3), (4, 1), (14, 1), (16, 2), (21, 1)], 4: [(1, 2), (5, 5), (7, 1), (21, 1), (23, 1), (24, 1)], 5: [(1, 1), (2, 2), (3, 1), (25, 1), (26, 1), (38, 2)], 6: [(3, 1), (4, 4), (6, 1), (10, 1), (14, 1), (16, 6), (17, 1), (22, 2)], 7: [(1, 1), (4, 3), (5, 3), (6, 3), (7, 6), (8, 2), (9, 1), (11, 2), (17, 1), (19, 1), (20, 1), (21, 1), (22, 1), (24, 5), (25, 2), (26, 1), (27, 1), (28, 1)]}","{1: 6, 2: 14, 3: 9, 4: 11, 5: 8, 6: 17, 7: 36}",9.02882878211827e-05,-4.044368582627018,0.26262626262626265,-0.5806618466267319,3.1319,1
Nick,"{1: [(7, 3), (8, 1)], 2: [(8, 31), (11, 7), (12, 1), (13, 1), (14, 1), (16, 2)], 3: [(8, 1), (14, 1)], 4: [(12, 13), (15, 1)], 5: [(11, 12), (14, 2), (20, 1), (38, 20)], 6: [(8, 3), (23, 3)], 7: [(31, 7)]}","{1: 4, 2: 43, 3: 2, 4: 14, 5: 35, 6: 6, 7: 7}",9.922772225892357e-05,-4.003366977623003,0.09595959595959595,-1.017911589308702,3.4861,1
pudding,"{1: [(7, 2)], 2: [(1, 1), (2, 3), (3, 1), (5, 1), (8, 1), (12, 2)], 3: [(3, 1), (4, 2), (5, 1), (6, 1)], 4: [(12, 1), (16, 2)], 5: [(5, 1), (23, 1), (38, 1)], 6: [(8, 1)], 7: [(6, 1)]}","{1: 2, 2: 9, 3: 5, 4: 3, 5: 3, 6: 1, 7: 1}",2.145464265057807e-05,-4.668478714698054,0.09090909090909091,-1.041392685158225,2.4983,1
parents,"{1: [(2, 5), (4, 3), (5, 5), (6, 2), (12, 3), (13, 2), (16, 1), (17, 3)], 2: [(1, 2), (4, 4), (7, 1), (13, 2), (17, 1), (18, 1)], 3: [(1, 3), (2, 2), (3, 1), (10, 2), (11, 3), (12, 3), (14, 1), (17, 2), (18, 2), (19, 4), (20, 3), (22, 3)], 4: [(1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (7, 3), (9, 1), (11, 1), (13, 1), (14, 4), (18, 3), (19, 2), (20, 1), (24, 2), (27, 1), (30, 3), (31, 3), (33, 1), (34, 1), (35, 2), (36, 2), (37, 1)], 5: [(1, 2), (2, 4), (4, 1), (5, 2), (6, 4), (9, 3), (10, 1), (11, 3), (14, 2), (15, 2), (16, 1), (18, 2), (19, 1), (21, 1), (23, 4), (25, 1), (26, 1), (29, 1), (30, 1), (35, 3), (37, 6), (38, 2)], 6: [(3, 1), (7, 2), (8, 1), (11, 3), (13, 1), (15, 1), (16, 1), (17, 1), (19, 1), (23, 2), (25, 1), (29, 1), (30, 4)], 7: [(2, 1), (3, 3), (4, 4), (5, 3), (6, 4), (9, 1), (10, 7), (11, 7), (13, 1), (15, 2), (16, 8), (17, 1), (21, 1), (22, 2), (29, 1), (33, 5), (34, 2), (35, 4), (36, 5)]}","{1: 24, 2: 11, 3: 29, 4: 37, 5: 48, 6: 20, 7: 62}",0.0002065009355118139,-3.685077976517516,0.5151515151515151,-0.2880650184996136,3.856,1
password,"{1: [(7, 1), (9, 1)], 2: [(5, 3), (11, 1), (12, 1), (14, 1)], 3: [(5, 1), (8, 2), (9, 1), (11, 1), (13, 1), (14, 2), (15, 1)], 4: [(12, 1), (17, 1), (22, 1), (23, 1), (25, 2), (28, 3), (29, 1), (36, 1)], 5: [(11, 2), (13, 1)], 6: [(9, 1), (15, 1), (17, 2), (23, 1), (25, 1), (29, 1)], 7: [(20, 1), (22, 3), (29, 1), (33, 1)]}","{1: 2, 2: 6, 3: 9, 4: 11, 5: 3, 6: 7, 7: 6}",3.9333511526059796e-05,-4.405237279923473,0.16666666666666666,-0.7781512503836436,2.6107,1
wings,"{1: [(10, 1), (11, 1), (14, 1), (16, 2)], 2: [(2, 1), (3, 1), (13, 1), (17, 4)], 3: [(1, 1), (2, 1), (6, 5), (13, 1), (14, 1), (15, 1), (21, 7)], 4: [(3, 1), (8, 1), (15, 2), (20, 4), (36, 1)], 5: [(2, 2), (3, 1), (6, 2), (7, 1), (10, 3), (14, 3), (17, 2), (19, 1), (21, 1), (22, 1), (26, 1), (27, 1), (30, 1), (33, 2), (34, 3)], 6: [(16, 1), (28, 1)], 7: [(5, 1), (7, 3), (20, 3), (25, 1), (26, 4), (27, 3)]}","{1: 5, 2: 7, 3: 17, 4: 9, 5: 25, 6: 2, 7: 15}",7.151547550192689e-05,-4.145599969417717,0.21717171717171718,-0.6631967346819445,3.0017,1
scar,"{1: [(1, 1), (2, 2), (5, 2), (6, 3), (7, 1), (8, 1), (15, 2), (16, 2), (17, 3)], 2: [(1, 6), (4, 2), (6, 3), (17, 2), (18, 1)], 3: [(1, 3), (3, 3), (8, 1), (13, 1)], 4: [(2, 16), (3, 1), (5, 1), (6, 1), (7, 1), (8, 2), (9, 1), (10, 4), (14, 1), (15, 3), (16, 1), (17, 1), (18, 2), (19, 1), (29, 5), (30, 5), (31, 4), (32, 4), (33, 3), (35, 3), (36, 3), (37, 1)], 5: [(1, 2), (3, 3), (4, 2), (6, 2), (9, 4), (10, 1), (13, 4), (14, 2), (15, 1), (16, 1), (18, 6), (21, 1), (22, 2), (23, 1), (24, 9), (25, 4), (26, 5), (27, 1), (28, 3), (31, 1), (32, 1), (33, 4), (34, 2), (35, 3), (36, 4), (37, 7)], 6: [(4, 3), (7, 1), (17, 1)], 7: [(4, 3), (5, 8), (7, 3), (8, 1), (9, 5), (12, 3), (14, 3), (15, 2), (16, 1), (17, 4), (20, 2), (22, 3), (23, 17), (24, 18), (27, 2), (29, 7), (30, 6), (32, 3), (35, 1), (36, 2)]}","{1: 17, 2: 14, 3: 8, 4: 64, 5: 76, 6: 5, 7: 94}",0.000248516277369196,-3.604645160491584,0.4494949494949495,-0.3472751836166183,2.6365,1
Lily,"{1: [(1, 3), (4, 4)], 3: [(1, 1), (10, 7), (12, 1), (19, 8)], 4: [(14, 1)], 5: [(28, 7), (29, 3)], 6: [(4, 1), (7, 2), (9, 1), (18, 1), (22, 1), (25, 1)], 7: [(8, 1), (10, 3), (16, 3), (17, 3), (33, 51), (34, 1), (36, 6)]}","{1: 7, 3: 17, 4: 1, 5: 10, 6: 7, 7: 68}",9.833377881514948e-05,-4.007297271251435,0.1111111111111111,-0.9542425094393249,3.137,1
tail,"{1: [(1, 1), (2, 2), (4, 1), (5, 2), (6, 2), (10, 1), (14, 2), (15, 2), (16, 1)], 2: [(8, 1), (11, 1), (12, 2), (13, 1), (15, 1), (17, 6)], 3: [(1, 1), (2, 2), (4, 1), (7, 1), (8, 2), (9, 1), (11, 2), (13, 3), (14, 1), (15, 3), (16, 1), (17, 3), (19, 1), (20, 1)], 4: [(1, 1), (4, 1), (5, 1), (8, 2), (13, 1), (15, 1), (18, 3), (19, 1), (20, 3), (25, 1), (26, 2), (27, 2), (30, 1), (31, 1), (36, 1), (37, 1)], 5: [(2, 1), (3, 1), (10, 3), (15, 1), (21, 2), (22, 2), (25, 1), (27, 3), (28, 1), (36, 1)], 6: [(7, 1), (17, 1), (18, 1), (19, 2), (21, 1), (22, 1), (30, 1)], 7: [(4, 1), (5, 1), (7, 1), (11, 1), (17, 3), (26, 1)]}","{1: 14, 2: 12, 3: 23, 4: 23, 5: 16, 6: 8, 7: 8}",9.297011815250496e-05,-4.03165661711088,0.3434343434343434,-0.4641562775552948,3.0864,1
sweater,"{1: [(2, 1), (12, 8), (17, 1)], 2: [(4, 1), (5, 1), (12, 2)], 3: [(11, 2)], 4: [(6, 2), (21, 1), (23, 3), (26, 2)], 6: [(16, 1)], 7: [(16, 1), (17, 1), (19, 3), (26, 1)]}","{1: 10, 2: 4, 3: 2, 4: 8, 6: 1, 7: 6}",2.7712246756996673e-05,-4.557328262575388,0.08080808080808081,-1.0925452076056064,2.8482,1
broomstick,"{1: [(6, 1), (9, 10), (10, 9), (11, 3), (12, 1), (13, 2), (16, 1)], 2: [(1, 2), (3, 1), (4, 1), (5, 1), (7, 3), (9, 2), (14, 2)], 3: [(1, 2), (2, 1), (3, 2), (6, 2), (9, 1), (10, 5), (11, 3), (12, 3), (13, 1)], 4: [(2, 2), (4, 1), (8, 4), (9, 2), (10, 2), (15, 1), (24, 1), (26, 1)], 5: [(1, 1), (3, 3), (9, 1), (13, 1), (20, 2), (26, 1), (28, 2), (29, 1), (33, 2)], 6: [(9, 1), (14, 1)], 7: [(4, 10), (10, 3), (13, 1), (17, 1), (31, 2), (33, 1), (36, 1)]}","{1: 27, 2: 12, 3: 20, 4: 14, 5: 14, 6: 2, 7: 19}",9.654589192760131e-05,-4.015266200922711,0.2474747474747475,-0.6064691102330174,1.6435,1
sword,"{1: [(4, 1)], 2: [(3, 1), (17, 7), (18, 6)], 3: [(6, 4)], 4: [(22, 1), (30, 2)], 5: [(1, 1), (12, 1), (16, 1), (37, 1)], 6: [(4, 1), (23, 1), (24, 1), (29, 1)], 7: [(6, 1), (7, 12), (12, 1), (15, 18), (16, 8), (17, 3), (18, 1), (19, 37), (20, 3), (22, 1), (23, 15), (24, 5), (25, 17), (26, 14), (27, 3), (31, 1), (33, 6), (36, 1)]}","{1: 1, 2: 14, 3: 4, 4: 3, 5: 4, 6: 4, 7: 147}",0.00015822798954801326,-3.800716690047854,0.16666666666666666,-0.7781512503836436,3.1258,1
