Category,Word,WF
Magical artifact--other,wand,"defaultdict(<class 'list'>, {1: [(4, 1), (5, 28), (6, 7), (7, 2), (8, 3), (9, 4), (10, 11), (11, 2), (12, 1), (13, 1), (14, 1), (16, 2)], 2: [(1, 2), (3, 4), (4, 2), (5, 8), (6, 9), (7, 7), (8, 1), (9, 2), (10, 2), (11, 15), (12, 1), (13, 9), (14, 1), (15, 8), (16, 16), (17, 17), (18, 3)], 3: [(1, 4), (2, 1), (3, 9), (4, 2), (5, 2), (7, 9), (8, 1), (9, 4), (10, 8), (11, 1), (12, 7), (13, 5), (14, 5), (15, 2), (17, 24), (18, 2), (19, 14), (20, 8), (21, 5), (22, 1)], 4: [(1, 1), (2, 1), (4, 7), (5, 11), (6, 1), (7, 7), (8, 3), (9, 36), (10, 1), (11, 2), (13, 5), (14, 9), (15, 2), (16, 2), (18, 26), (19, 2), (20, 12), (22, 1), (23, 2), (24, 1), (25, 1), (26, 12), (27, 8), (28, 7), (29, 3), (30, 7), (31, 20), (32, 6), (33, 7), (34, 40), (35, 15), (36, 13), (37, 3)], 5: [(1, 18), (2, 17), (3, 24), (4, 4), (5, 3), (6, 4), (7, 7), (8, 2), (9, 4), (10, 3), (11, 4), (12, 9), (13, 2), (15, 1), (17, 2), (18, 15), (19, 3), (20, 1), (21, 4), (22, 11), (23, 3), (24, 22), (26, 9), (27, 6), (28, 21), (29, 4), (30, 4), (31, 10), (32, 13), (33, 10), (34, 9), (35, 44), (36, 10), (37, 3), (38, 4)], 6: [(1, 5), (2, 10), (3, 10), (4, 11), (5, 4), (6, 4), (7, 4), (8, 8), (9, 4), (10, 11), (11, 3), (12, 2), (13, 8), (14, 6), (16, 4), (17, 8), (18, 7), (19, 8), (20, 3), (21, 4), (22, 7), (24, 8), (25, 1), (26, 23), (27, 14), (28, 10), (29, 2), (30, 1)], 7: [(1, 14), (2, 2), (4, 11), (5, 14), (6, 6), (7, 10), (8, 8), (9, 14), (10, 5), (11, 14), (12, 9), (13, 12), (14, 13), (15, 4), (16, 4), (17, 32), (18, 8), (19, 26), (20, 10), (21, 32), (22, 24), (23, 32), (24, 60), (25, 8), (26, 38), (27, 5), (28, 8), (29, 3), (30, 17), (31, 10), (32, 38), (33, 8), (34, 12), (35, 30), (36, 45)]})"
Magical artifact--pranks,Dungbombs,"defaultdict(<class 'list'>, {3: [(11, 1), (14, 1)], 4: [(19, 2), (23, 1)], 5: [(4, 2), (14, 3), (16, 2), (18, 1), (30, 2)]})"
Magical artifact--transportation,Time-turner,"defaultdict(<class 'list'>, {})"
Magical artifact--wandwood,cherry,"defaultdict(<class 'list'>, {3: [(10, 1)], 5: [(25, 1)], 6: [(7, 1)], 7: [(13, 1)]})"
Magical artifact--wandwood,ebony,"defaultdict(<class 'list'>, {1: [(5, 1)]})"
Magical artifact--wandwood,holly,"defaultdict(<class 'list'>, {1: [(5, 1), (12, 1)], 2: [(12, 1)], 3: [(10, 1), (11, 1)], 4: [(18, 1), (22, 1)], 5: [(23, 2)], 6: [(15, 1)], 7: [(8, 1), (17, 1), (21, 1), (24, 1), (36, 2)]})"
Magical artifact--wandwood,mahogany,"defaultdict(<class 'list'>, {1: [(5, 1), (10, 1)], 6: [(11, 1)], 7: [(13, 1)]})"
Magical artifact--wandwood,oak,"defaultdict(<class 'list'>, {1: [(5, 1), (6, 1), (9, 1), (15, 2)], 2: [(5, 1), (11, 1), (14, 1), (15, 2), (17, 1)], 3: [(3, 1), (5, 1), (11, 1), (21, 1)], 4: [(12, 1), (23, 1), (26, 1), (28, 2), (29, 1), (36, 1)], 5: [(7, 2), (9, 1), (11, 1), (22, 2), (24, 1), (25, 1), (26, 1), (33, 1)], 6: [(3, 1), (8, 1), (12, 1), (18, 2), (22, 1), (28, 2)], 7: [(19, 1)]})"
Magical artifact--wandwood,rosewood,"defaultdict(<class 'list'>, {4: [(18, 1)]})"
Magical artifact--wandwood,vinewood,"defaultdict(<class 'list'>, {})"
