HP3Item,Supported,Supported WF,Related,Related WF,Unrelated,Unrelated WF,TypeOfSupported
21,Ravenclaw,"defaultdict(<class 'list'>, {1: [(6, 2), (7, 5), (17, 3)], 2: [(5, 1), (9, 1), (10, 1), (12, 1), (14, 3), (16, 2), (18, 1)], 3: [(5, 1), (9, 6), (10, 1), (12, 6), (13, 14), (15, 2), (22, 1)], 4: [(7, 1), (12, 8), (15, 1), (16, 5), (19, 1), (22, 1), (23, 2), (31, 1)], 5: [(10, 3), (11, 6), (16, 1), (17, 2), (19, 3), (21, 1), (25, 1), (26, 2), (28, 1), (30, 3), (31, 1), (38, 1)], 6: [(7, 1), (9, 1), (23, 1), (24, 5)], 7: [(20, 1), (21, 1), (25, 1), (29, 6), (30, 7), (31, 12)]})",Hufflepuff,"defaultdict(<class 'list'>, {1: [(5, 5), (7, 7), (13, 4), (17, 2)], 2: [(5, 1), (6, 1), (8, 1), (9, 2), (10, 1), (11, 1), (13, 1), (14, 2), (18, 1)], 3: [(5, 1), (9, 9), (10, 1), (13, 2), (15, 1)], 4: [(6, 1), (7, 1), (12, 6), (13, 1), (15, 2), (16, 3), (17, 2), (18, 3), (20, 1), (22, 1), (23, 1), (28, 1), (31, 1), (37, 2)], 5: [(3, 1), (10, 1), (11, 6), (16, 4), (17, 1), (18, 1), (21, 1), (25, 1), (26, 1), (28, 1), (30, 3), (38, 1)], 6: [(7, 1), (8, 1), (9, 1), (14, 1), (18, 1), (19, 7), (23, 1), (24, 1)], 7: [(5, 1), (26, 2), (29, 1), (31, 1)]})",Expelliarmus,"defaultdict(<class 'list'>, {2: [(11, 1), (13, 1), (16, 1)], 3: [(17, 2), (19, 1), (20, 1)], 4: [(31, 1), (34, 2)], 5: [(18, 5), (28, 1), (35, 1)], 6: [(27, 2)], 7: [(4, 1), (5, 2), (11, 1), (17, 1), (23, 1), (31, 1), (36, 1)]})",ProperName
22,Lumos,"defaultdict(<class 'list'>, {2: [(15, 1), (16, 1)], 3: [(3, 1), (10, 1), (13, 1), (17, 1)], 4: [(9, 1), (26, 1), (28, 1), (31, 1)], 5: [(1, 1), (3, 1), (30, 1)], 6: [(4, 1), (26, 1), (29, 1)], 7: [(10, 1), (17, 2), (19, 1), (26, 1), (34, 1)]})",Accio,"defaultdict(<class 'list'>, {4: [(6, 4), (20, 2), (25, 1), (34, 1)], 5: [(18, 1), (22, 1), (28, 1), (29, 1), (35, 4), (36, 2)], 6: [(8, 1), (26, 1), (27, 1)], 7: [(4, 1), (6, 1), (7, 1), (10, 1), (13, 1), (14, 1), (15, 1), (17, 2), (19, 1), (26, 1), (28, 1), (31, 1)]})",skin,"defaultdict(<class 'list'>, {1: [(3, 1), (7, 1), (10, 1), (17, 2)], 2: [(5, 1), (6, 1), (8, 2), (10, 2), (11, 1), (12, 1), (16, 4)], 3: [(3, 1), (5, 1), (7, 1), (8, 1), (9, 1), (14, 2), (17, 1), (19, 3), (20, 1)], 4: [(2, 1), (8, 1), (12, 2), (13, 1), (17, 1), (18, 3), (19, 2), (21, 1), (24, 1), (26, 3), (27, 2), (30, 2), (33, 1), (34, 1), (35, 2), (36, 1)], 5: [(4, 1), (6, 3), (13, 7), (15, 1), (19, 2), (20, 3), (23, 2), (24, 1), (25, 1), (27, 1), (30, 1), (35, 1), (38, 1)], 6: [(13, 1), (15, 2), (18, 3), (20, 1), (22, 1), (26, 1), (28, 1), (30, 1)], 7: [(1, 1), (5, 1), (6, 1), (7, 1), (10, 1), (14, 2), (15, 1), (17, 2), (19, 1), (23, 1), (24, 2), (26, 1), (27, 3), (30, 1), (34, 1), (35, 1), (36, 1)]})",ProperName
23,Animagus,"defaultdict(<class 'list'>, {3: [(17, 2), (18, 4), (21, 1)], 4: [(26, 3), (27, 1), (37, 1)], 5: [(5, 1), (17, 1), (23, 2), (25, 1), (36, 1)]})",Occlumens,"defaultdict(<class 'list'>, {5: [(24, 1)], 6: [(25, 2), (29, 1)]})",Apparition,"defaultdict(<class 'list'>, {3: [(14, 1)], 4: [(6, 4), (29, 1)], 6: [(3, 1), (4, 2), (17, 8), (18, 7), (20, 1), (21, 6), (22, 3), (27, 1)], 7: [(3, 1), (12, 1), (14, 3), (15, 1), (19, 1), (30, 1)]})",HPWorldNoun
24,horcruxes,"defaultdict(<class 'list'>, {6: [(17, 2), (18, 8), (20, 1), (23, 23), (24, 1), (26, 1), (30, 3)], 7: [(6, 10), (10, 2), (14, 1), (15, 5), (20, 2), (22, 8), (24, 5), (25, 2), (27, 5), (29, 2), (30, 1), (31, 2), (32, 1), (34, 2), (35, 2), (36, 1)]})",Inferi,"defaultdict(<class 'list'>, {6: [(3, 1), (4, 3), (6, 1), (9, 1), (21, 1), (26, 8), (27, 1), (30, 1)], 7: [(3, 1), (10, 1), (11, 1), (30, 1), (35, 1)]})",giants,"defaultdict(<class 'list'>, {4: [(8, 1), (23, 4), (24, 4), (31, 2), (33, 1), (36, 3)], 5: [(5, 1), (20, 24), (25, 1), (31, 1), (33, 1)], 6: [(1, 1)], 7: [(31, 1), (32, 1), (34, 2), (36, 6)]})",HPWorldNoun
25,Seeker,"defaultdict(<class 'list'>, {1: [(9, 3), (10, 3), (11, 3), (12, 1), (13, 1), (15, 1), (16, 1)], 2: [(7, 5), (10, 3)], 3: [(5, 1), (8, 2), (9, 4), (12, 2), (13, 3), (15, 1)], 4: [(5, 1), (6, 1), (7, 3), (8, 3), (12, 1), (23, 1), (27, 1)], 5: [(10, 1), (19, 1), (21, 1), (26, 1)], 6: [(24, 2)], 7: [(7, 1), (10, 3), (36, 1)]})",Keeper,"defaultdict(<class 'list'>, {1: [(2, 1), (4, 3), (10, 4), (11, 2)], 2: [(7, 1)], 3: [(8, 2), (10, 8), (11, 1), (15, 5), (19, 3), (21, 1)], 4: [(8, 3), (10, 1), (35, 1)], 5: [(6, 1), (12, 2), (13, 7), (14, 1), (19, 8), (37, 2)], 6: [(2, 1), (11, 3), (14, 3), (15, 3), (19, 4)], 7: [(6, 2), (9, 1), (24, 2), (25, 1)]})",necklace,"defaultdict(<class 'list'>, {2: [(4, 1)], 5: [(10, 1), (20, 1)], 6: [(6, 1), (12, 14), (13, 2), (15, 3), (16, 3), (19, 4), (24, 2), (27, 3), (29, 1)], 7: [(31, 1)]})",ProperName
26,Malkin,"defaultdict(<class 'list'>, {1: [(5, 3)], 6: [(6, 6), (7, 1), (30, 1)]})",Ollivander,"defaultdict(<class 'list'>, {1: [(5, 18)], 4: [(18, 19), (36, 1)], 6: [(6, 2), (7, 1)], 7: [(5, 2), (6, 1), (8, 5), (12, 2), (17, 1), (21, 1), (23, 7), (24, 35), (25, 9), (26, 3), (32, 2), (35, 1), (36, 1)]})",centaurs,"defaultdict(<class 'list'>, {1: [(15, 5)], 2: [(15, 1)], 5: [(7, 1), (9, 1), (27, 9), (30, 6), (33, 20), (34, 1), (36, 2), (38, 3)], 6: [(4, 1), (30, 2)], 7: [(36, 6)]})",CommonNoun
27,Broomsticks,"defaultdict(<class 'list'>, {1: [(5, 4), (9, 1), (10, 1), (11, 1), (14, 1), (16, 1)], 2: [(1, 1), (3, 1), (4, 1), (7, 3)], 3: [(1, 1), (8, 2), (10, 3), (11, 1), (12, 2), (14, 2)], 4: [(2, 1), (3, 1), (7, 1), (15, 2), (19, 4), (21, 1), (23, 1), (24, 2), (31, 1)], 5: [(7, 1), (9, 1), (14, 1), (16, 2), (17, 1), (19, 1), (25, 3), (26, 1), (29, 2), (32, 1), (33, 1), (37, 1)], 6: [(1, 1), (4, 1), (7, 1), (11, 1), (12, 6), (13, 1), (21, 1), (24, 1), (25, 2), (27, 1), (30, 1)], 7: [(4, 1), (21, 1), (28, 2), (29, 1), (31, 2)]})",Honeydukes,"defaultdict(<class 'list'>, {3: [(5, 1), (8, 3), (10, 11), (11, 1), (13, 1), (14, 4), (17, 1)], 4: [(19, 2), (28, 1)], 5: [(1, 1)], 6: [(4, 1), (12, 2)]})",cards,"defaultdict(<class 'list'>, {1: [(6, 2), (14, 1), (16, 2)], 2: [(1, 2), (3, 1), (4, 1), (13, 1)], 3: [(1, 1), (2, 1), (6, 1), (11, 1)], 4: [(2, 1), (19, 1), (22, 2), (37, 2)], 5: [(5, 1), (10, 1), (17, 1), (21, 3), (28, 1)], 6: [(6, 1), (10, 1), (24, 1), (25, 1)]})",CommonNoun
28,Prophet,"defaultdict(<class 'list'>, {1: [(5, 1), (6, 1), (8, 1)], 2: [(4, 2), (5, 1), (12, 2), (18, 1)], 3: [(1, 5), (3, 1), (4, 2), (5, 1), (7, 1), (12, 1), (19, 1), (22, 2)], 4: [(5, 1), (10, 6), (13, 2), (18, 4), (19, 4), (21, 2), (22, 1), (24, 5), (25, 1), (27, 1), (28, 3), (29, 1), (31, 5), (37, 1)], 5: [(1, 2), (4, 2), (5, 2), (6, 2), (7, 3), (9, 2), (10, 1), (11, 5), (12, 1), (14, 7), (15, 2), (17, 1), (18, 1), (22, 5), (25, 9), (26, 2), (27, 2), (35, 1), (38, 5)], 6: [(4, 4), (5, 1), (6, 1), (7, 5), (11, 4), (16, 2), (17, 2), (18, 1), (21, 2), (25, 1), (30, 2)], 7: [(1, 1), (2, 5), (6, 1), (8, 2), (11, 5), (12, 4), (15, 3), (19, 1), (22, 1), (23, 2)]})",Quibbler,"defaultdict(<class 'list'>, {5: [(7, 1), (10, 7), (11, 1), (13, 1), (25, 3), (26, 10), (27, 1), (38, 5)], 6: [(7, 3)], 7: [(15, 2), (20, 1), (21, 1), (22, 1), (29, 1)]})",George,"defaultdict(<class 'list'>, {1: [(6, 9), (8, 1), (9, 4), (11, 3), (12, 6), (13, 4), (15, 1), (17, 1)], 2: [(3, 28), (4, 14), (5, 6), (7, 9), (8, 4), (10, 13), (11, 1), (12, 5), (13, 1), (14, 1), (15, 2), (16, 2), (18, 2)], 3: [(1, 1), (4, 6), (5, 3), (6, 6), (8, 4), (9, 3), (10, 18), (11, 2), (13, 7), (14, 2), (15, 5), (16, 1), (17, 1), (22, 1)], 4: [(2, 1), (4, 12), (5, 11), (6, 7), (7, 6), (8, 1), (9, 7), (10, 6), (11, 6), (12, 9), (13, 6), (14, 7), (15, 8), (16, 11), (17, 3), (19, 2), (21, 5), (22, 5), (23, 7), (24, 2), (25, 1), (26, 3), (28, 1), (29, 7), (31, 1), (37, 17)], 5: [(4, 15), (5, 13), (6, 27), (9, 30), (10, 3), (11, 1), (12, 18), (13, 15), (14, 11), (15, 9), (16, 5), (17, 9), (18, 8), (19, 18), (21, 3), (22, 18), (23, 7), (24, 6), (25, 1), (26, 9), (28, 13), (29, 18), (30, 8), (31, 1), (32, 1), (33, 1), (38, 2)], 6: [(5, 4), (6, 13), (7, 1), (11, 1), (12, 1), (15, 1), (16, 16), (17, 4), (19, 7), (30, 1)], 7: [(4, 10), (5, 20), (6, 1), (7, 4), (8, 13), (14, 1), (15, 1), (20, 1), (22, 1), (25, 2), (29, 3), (30, 6), (31, 1), (33, 4), (36, 1)]})",ProperName
29,Morsmordre,"defaultdict(<class 'list'>, {4: [(9, 1)]})",Crucio,"defaultdict(<class 'list'>, {4: [(14, 1), (29, 1), (31, 1), (33, 2)], 5: [(31, 1), (35, 1), (36, 2)], 6: [(28, 2)], 7: [(23, 1), (30, 1), (31, 1), (36, 1)]})",clothes,"defaultdict(<class 'list'>, {1: [(1, 2), (2, 3), (3, 1), (5, 1), (6, 1)], 2: [(4, 1), (6, 1), (10, 1), (14, 1)], 3: [(7, 3), (8, 1)], 4: [(3, 1), (4, 1), (5, 1), (6, 1), (9, 4), (20, 1), (21, 5), (23, 1), (26, 1), (28, 2), (35, 1)], 5: [(3, 2), (6, 2), (13, 1), (16, 1), (18, 2), (22, 1), (23, 3), (28, 1), (31, 1), (38, 2)], 6: [(6, 3), (7, 1), (10, 1), (13, 1), (26, 3)], 7: [(4, 3), (6, 1), (8, 1), (9, 2), (17, 1), (19, 2), (20, 1), (21, 2), (28, 1), (33, 3), (34, 1)]})",ProperName
30,Riddikulus,"defaultdict(<class 'list'>, {3: [(7, 10), (12, 1)], 4: [(31, 1)], 5: [(9, 6)]})",Sectumsempra,"defaultdict(<class 'list'>, {6: [(21, 1), (24, 4), (26, 2), (29, 1), (30, 1)], 7: [(5, 1), (33, 1)]})",Hagrid,"defaultdict(<class 'list'>, {1: [(1, 11), (4, 38), (5, 99), (6, 11), (7, 4), (8, 23), (9, 2), (11, 16), (12, 19), (14, 42), (15, 43), (16, 16), (17, 12)], 2: [(1, 1), (2, 1), (4, 18), (5, 1), (7, 27), (11, 3), (12, 8), (13, 2), (14, 40), (15, 22), (16, 2), (17, 7), (18, 1)], 3: [(1, 6), (3, 2), (4, 2), (5, 9), (6, 51), (7, 2), (8, 1), (10, 12), (11, 41), (12, 2), (13, 1), (14, 16), (15, 6), (16, 30), (17, 3), (21, 20), (22, 7)], 4: [(3, 2), (11, 3), (12, 6), (13, 15), (15, 9), (16, 30), (17, 1), (18, 8), (19, 49), (20, 8), (21, 22), (22, 11), (23, 15), (24, 62), (25, 1), (26, 10), (28, 39), (29, 4), (31, 6), (35, 1), (36, 2), (37, 18)], 5: [(6, 1), (9, 2), (10, 5), (11, 2), (12, 2), (13, 11), (14, 4), (15, 6), (16, 2), (17, 2), (20, 112), (21, 41), (23, 1), (25, 23), (26, 1), (27, 11), (28, 1), (29, 5), (30, 115), (31, 27), (32, 2), (33, 4), (38, 12)], 6: [(3, 3), (6, 16), (7, 1), (8, 11), (9, 2), (11, 27), (12, 7), (13, 1), (15, 1), (17, 3), (19, 22), (22, 49), (28, 30), (29, 11), (30, 8)], 7: [(2, 1), (3, 1), (4, 42), (5, 39), (6, 2), (7, 10), (8, 4), (14, 1), (15, 3), (16, 1), (17, 1), (22, 2), (24, 1), (26, 1), (27, 1), (28, 1), (31, 10), (32, 12), (34, 5), (36, 13)]})",ProperName
31,Arithmancy,"defaultdict(<class 'list'>, {2: [(14, 1)], 3: [(4, 1), (6, 5), (12, 5), (15, 2), (16, 2)], 4: [(13, 1), (20, 1), (29, 1)], 5: [(15, 1), (27, 1), (29, 1), (31, 2)], 6: [(9, 2), (15, 1), (24, 1)]})",Divination,"defaultdict(<class 'list'>, {2: [(14, 1)], 3: [(4, 3), (6, 10), (12, 2), (15, 4), (16, 1), (22, 2)], 4: [(10, 1), (13, 2), (14, 2), (15, 2), (20, 2), (21, 1), (24, 1), (29, 2), (30, 1), (31, 2), (37, 1)], 5: [(12, 4), (13, 1), (15, 3), (17, 5), (21, 1), (25, 1), (26, 3), (27, 2), (29, 2), (31, 2), (37, 2), (38, 1)], 6: [(5, 3), (8, 2), (9, 3), (15, 1), (20, 1), (21, 1), (25, 1)]})",Hippogriffs,"defaultdict(<class 'list'>, {3: [(6, 11), (14, 2), (22, 1)], 5: [(13, 1), (20, 1), (23, 2)]})",ProperName
32,Beans,"defaultdict(<class 'list'>, {1: [(6, 3), (12, 1), (17, 2)], 3: [(2, 1), (8, 3), (10, 1)], 4: [(8, 1), (23, 1), (24, 1), (29, 1), (37, 1)], 5: [(23, 1), (38, 1)], 7: [(8, 1), (21, 1)]})",Frogs,"defaultdict(<class 'list'>, {1: [(6, 7), (12, 1)], 2: [(3, 1)], 3: [(12, 1)], 4: [(23, 1)], 5: [(10, 2), (18, 1), (38, 2)], 7: [(8, 1)]})",Padfoot,"defaultdict(<class 'list'>, {3: [(10, 2), (13, 1), (14, 2), (18, 2), (19, 1), (21, 1), (22, 1)], 4: [(27, 1)], 5: [(14, 1), (28, 1), (32, 4)], 7: [(10, 1)]})",CommonNoun
33,Beauxbatons,"defaultdict(<class 'list'>, {4: [(9, 3), (11, 1), (12, 3), (15, 5), (16, 15), (19, 3), (21, 1), (22, 1), (23, 8), (24, 3), (28, 6), (29, 1), (31, 3), (37, 2)], 6: [(5, 1)]})",Durmstrang,"defaultdict(<class 'list'>, {4: [(11, 7), (12, 3), (15, 6), (16, 15), (17, 1), (18, 1), (19, 2), (21, 1), (22, 1), (23, 5), (24, 2), (28, 4), (29, 1), (31, 2), (35, 1), (37, 3)], 5: [(16, 1)], 7: [(8, 1), (16, 1), (18, 4)]})",howler,"defaultdict(<class 'list'>, {2: [(6, 6)], 3: [(14, 3)], 4: [(10, 1)], 5: [(2, 2), (3, 2), (30, 1), (37, 2)]})",ProperName
34,butterbeer,"defaultdict(<class 'list'>, {3: [(8, 2), (10, 3), (12, 5), (13, 2), (22, 1)], 4: [(17, 1), (19, 4), (21, 1), (23, 1), (24, 3), (28, 4)], 5: [(5, 6), (9, 2), (10, 1), (13, 4), (16, 5), (18, 1), (22, 4), (26, 1)], 6: [(12, 2), (14, 2), (15, 1), (18, 1), (19, 1)], 7: [(8, 2), (11, 1), (23, 1)]})",gillywater,"defaultdict(<class 'list'>, {3: [(10, 1)], 5: [(25, 1)], 6: [(15, 1)]})",biography,"defaultdict(<class 'list'>, {6: [(15, 1)], 7: [(2, 2), (8, 1), (11, 1)]})",HPWorldNoun
35,diadem,"defaultdict(<class 'list'>, {7: [(25, 1), (29, 7), (30, 5), (31, 30), (32, 1)]})",cup,"defaultdict(<class 'list'>, {1: [(2, 1), (3, 1), (4, 1), (7, 2), (8, 1), (9, 2), (11, 2), (12, 3), (15, 2), (16, 1), (17, 4)], 2: [(7, 2), (11, 1), (12, 1), (14, 2), (18, 1)], 3: [(4, 1), (5, 1), (6, 13), (8, 5), (9, 1), (11, 1), (12, 3), (13, 1), (14, 2), (15, 9), (16, 1), (21, 1), (22, 3)], 4: [(1, 3), (2, 1), (3, 10), (5, 6), (6, 5), (7, 2), (8, 5), (9, 1), (10, 3), (11, 3), (12, 3), (13, 1), (14, 1), (15, 1), (16, 3), (17, 1), (19, 3), (20, 1), (21, 4), (23, 3), (24, 1), (25, 1), (26, 1), (27, 7), (28, 4), (31, 16), (32, 4), (33, 5), (34, 3), (35, 10), (36, 5), (37, 2)], 5: [(6, 1), (14, 1), (19, 2), (23, 3), (25, 3), (26, 1), (28, 6), (29, 1), (30, 6), (31, 2), (38, 1)], 6: [(1, 1), (12, 1), (20, 10), (23, 2), (24, 3), (26, 3), (30, 3)], 7: [(2, 4), (3, 1), (14, 2), (21, 1), (26, 10), (27, 6), (28, 1), (31, 2)]})",egg,"defaultdict(<class 'list'>, {1: [(2, 1), (14, 6), (16, 2), (17, 1)], 2: [(1, 1), (6, 1), (15, 1), (16, 1)], 3: [(2, 1)], 4: [(11, 1), (17, 1), (20, 9), (21, 3), (22, 2), (23, 7), (24, 14), (25, 31), (26, 2), (28, 2), (31, 2)], 5: [(2, 1), (3, 1), (16, 1), (18, 1), (25, 1), (29, 4), (34, 2), (35, 1)], 6: [(9, 1), (11, 1), (18, 2), (22, 1)], 7: [(5, 1), (8, 1), (14, 1)]})",CommonNoun
36,Ear,"defaultdict(<class 'list'>, {1: [(3, 1), (7, 3), (8, 1), (11, 1), (14, 2), (16, 1), (17, 1)], 2: [(3, 2), (4, 1), (5, 2), (6, 1), (8, 2), (9, 1), (10, 2), (11, 3), (12, 3), (14, 1), (18, 1)], 3: [(1, 1), (3, 1), (4, 1), (5, 2), (7, 1), (9, 2), (11, 1), (12, 2), (13, 2), (14, 2), (15, 1), (19, 1), (21, 3), (22, 1)], 4: [(1, 5), (4, 1), (15, 1), (17, 2), (28, 1), (30, 1), (33, 1), (34, 1), (37, 1)], 5: [(1, 2), (3, 1), (4, 5), (7, 2), (8, 1), (10, 2), (11, 2), (14, 1), (18, 3), (19, 1), (20, 1), (21, 1), (22, 2), (26, 1), (29, 1), (30, 2), (33, 2), (35, 7)], 6: [(1, 1), (5, 1), (6, 1), (9, 1), (15, 4), (18, 3), (19, 1), (23, 1), (24, 2), (30, 1)], 7: [(4, 1), (5, 7), (12, 1), (13, 1), (15, 2), (20, 2), (23, 2), (26, 6), (31, 1), (36, 2)]})",Snackbox,"defaultdict(<class 'list'>, {5: [(12, 2), (17, 1)]})",Patil,"defaultdict(<class 'list'>, {1: [(7, 2), (9, 2), (10, 1), (13, 1)], 2: [(9, 1)], 3: [(6, 1), (8, 1)], 4: [(13, 1), (15, 1), (22, 1), (24, 1), (27, 1)], 5: [(10, 2), (11, 1), (12, 1), (16, 2), (17, 1), (19, 1), (21, 1), (31, 4)], 6: [(9, 2), (11, 3), (30, 1)], 7: [(29, 1)]})",CommonNoun
37,Friar,"defaultdict(<class 'list'>, {1: [(7, 4)], 2: [(8, 1)], 4: [(12, 1)], 5: [(28, 1)]})",Myrtle,"defaultdict(<class 'list'>, {2: [(8, 13), (9, 9), (10, 1), (12, 4), (13, 9), (15, 1), (16, 7), (17, 2), (18, 1)], 4: [(22, 1), (25, 24), (26, 3)], 6: [(5, 1), (15, 1), (21, 6), (24, 8)]})",Parselmouth,"defaultdict(<class 'list'>, {2: [(11, 3), (16, 1)], 4: [(31, 1), (36, 1)], 6: [(13, 1), (23, 1)]})",CommonNoun
38,Hat,"defaultdict(<class 'list'>, {1: [(2, 1), (5, 3), (7, 31), (10, 1), (12, 3), (13, 1)], 2: [(4, 1), (5, 4), (6, 3), (8, 3), (9, 4), (11, 3), (12, 8), (13, 1), (17, 14), (18, 6)], 3: [(2, 1), (4, 1), (5, 3), (6, 2), (7, 4), (10, 1), (11, 3), (15, 1)], 4: [(2, 1), (7, 3), (8, 2), (12, 17), (15, 1), (16, 2), (20, 1), (21, 3), (22, 1), (23, 3), (26, 1), (28, 1), (30, 3), (36, 2)], 5: [(3, 2), (7, 1), (8, 2), (9, 1), (10, 3), (11, 14), (12, 1), (19, 6), (20, 1), (21, 2), (22, 2), (23, 2), (24, 6), (29, 1), (34, 1), (38, 5)], 6: [(1, 4), (3, 2), (4, 2), (8, 1), (9, 1), (12, 1), (14, 2), (15, 2), (16, 3), (17, 3), (21, 1), (22, 1), (24, 1), (29, 1), (30, 2)], 7: [(3, 2), (4, 1), (7, 1), (8, 4), (12, 1), (13, 1), (15, 1), (19, 1), (21, 1), (24, 1), (31, 1), (33, 5), (36, 5)]})",Goblet,"defaultdict(<class 'list'>, {1: [(7, 1), (17, 1)], 2: [(5, 1), (12, 1)], 3: [(8, 8), (15, 1)], 4: [(12, 1), (15, 1), (16, 22), (17, 17), (18, 4), (19, 4), (20, 1), (21, 2), (23, 2), (26, 1), (27, 1), (28, 1), (29, 2), (33, 1), (35, 3), (36, 3), (37, 1)], 5: [(5, 2), (7, 1), (9, 1), (11, 1), (13, 2)], 6: [(12, 1), (15, 1), (20, 2), (26, 22)], 7: [(8, 5), (25, 2), (26, 1), (33, 1)]})",mandrakes,"defaultdict(<class 'list'>, {2: [(6, 5), (9, 1), (11, 2), (13, 1), (14, 1), (16, 2)], 7: [(31, 1)]})",CommonNoun
39,Hedwig,"defaultdict(<class 'list'>, {1: [(6, 6), (8, 3), (14, 2), (16, 2)], 2: [(1, 1), (2, 2), (3, 4), (5, 4), (7, 1), (12, 1)], 3: [(1, 8), (2, 3), (3, 4), (4, 1), (5, 3), (8, 1), (14, 3), (16, 1), (22, 2)], 4: [(2, 5), (3, 6), (10, 4), (13, 1), (14, 7), (15, 6), (18, 5), (19, 1), (28, 3), (37, 2)], 5: [(3, 6), (4, 6), (6, 2), (9, 3), (10, 5), (12, 1), (14, 2), (17, 16), (18, 3), (23, 1), (25, 1), (38, 1)], 6: [(3, 2), (5, 1), (6, 1), (7, 1), (11, 1)], 7: [(2, 2), (4, 7), (5, 2), (19, 1), (34, 1)]})",Hermes,"defaultdict(<class 'list'>, {2: [(3, 1)], 3: [(5, 1)], 4: [(5, 1)], 5: [(14, 2)]})",tower,"defaultdict(<class 'list'>, {1: [(7, 1), (9, 3), (10, 1), (12, 1), (13, 1), (14, 4), (15, 2)], 2: [(1, 1), (5, 3), (8, 2), (11, 2), (12, 1), (13, 2), (14, 3), (15, 1), (16, 1)], 3: [(5, 1), (6, 6), (8, 4), (9, 2), (10, 1), (11, 1), (12, 5), (13, 2), (14, 5), (15, 3), (16, 4), (19, 1), (21, 5)], 4: [(12, 2), (13, 1), (14, 1), (15, 3), (18, 3), (21, 1), (22, 1), (23, 4), (25, 2), (28, 3), (29, 2), (31, 1), (37, 1)], 5: [(11, 1), (12, 1), (13, 4), (14, 1), (17, 1), (18, 2), (21, 1), (25, 2), (26, 1), (27, 2), (28, 4), (29, 3), (31, 4)], 6: [(8, 1), (11, 1), (14, 1), (17, 1), (18, 1), (19, 2), (21, 1), (23, 1), (24, 1), (25, 1), (27, 5), (28, 4), (29, 6), (30, 2)], 7: [(11, 1), (12, 2), (14, 1), (15, 1), (20, 1), (23, 4), (24, 1), (29, 1), (30, 2), (31, 7), (33, 1), (36, 2)]})",CommonNoun
40,Hermes,"defaultdict(<class 'list'>, {2: [(3, 1)], 3: [(5, 1)], 4: [(5, 1)], 5: [(14, 2)]})",Errol,"defaultdict(<class 'list'>, {2: [(3, 1), (4, 3), (6, 3)], 3: [(1, 5), (2, 3), (4, 1), (5, 1)], 4: [(3, 2), (5, 1)]})",mischief,"defaultdict(<class 'list'>, {3: [(10, 4)], 6: [(15, 1), (18, 1)]})",ProperName
41,Honeydukes,"defaultdict(<class 'list'>, {3: [(5, 1), (8, 3), (10, 11), (11, 1), (13, 1), (14, 4), (17, 1)], 4: [(19, 2), (28, 1)], 5: [(1, 1)], 6: [(4, 1), (12, 2)]})",Zonko's,"defaultdict(<class 'list'>, {})",Nagini,"defaultdict(<class 'list'>, {4: [(1, 5), (29, 1), (33, 3)], 6: [(23, 2)], 7: [(1, 1), (9, 1), (17, 1), (19, 2), (27, 2), (30, 1), (32, 4), (33, 1), (34, 3), (36, 2)]})",HPWorldNoun
42,Howlers,"defaultdict(<class 'list'>, {4: [(10, 2), (28, 1)]})",Sneakoscopes,"defaultdict(<class 'list'>, {4: [(35, 1)], 5: [(18, 2), (19, 1)], 6: [(4, 1), (5, 1)]})",Skrewts,"defaultdict(<class 'list'>, {4: [(13, 5), (14, 1), (15, 4), (16, 3), (18, 5), (19, 1), (21, 12), (22, 2), (24, 3), (26, 2), (31, 4)], 5: [(13, 1), (21, 1), (31, 1)], 6: [(11, 1)]})",HPWorldNoun
43,Legilimency,"defaultdict(<class 'list'>, {5: [(24, 4), (26, 1), (31, 1)], 6: [(15, 1), (17, 3), (27, 1), (30, 1)], 7: [(7, 1), (14, 1)]})",Apparition,"defaultdict(<class 'list'>, {3: [(14, 1)], 4: [(6, 4), (29, 1)], 6: [(3, 1), (4, 2), (17, 8), (18, 7), (20, 1), (21, 6), (22, 3), (27, 1)], 7: [(3, 1), (12, 1), (14, 3), (15, 1), (19, 1), (30, 1)]})",cave,"defaultdict(<class 'list'>, {4: [(27, 11), (28, 1), (30, 1)], 5: [(20, 5), (38, 1)], 6: [(4, 1), (8, 1), (13, 2), (25, 3), (26, 8)], 7: [(10, 7), (14, 1), (22, 1), (27, 1), (28, 1), (30, 1), (31, 1)]})",HPWorldNoun
44,mandrakes,"defaultdict(<class 'list'>, {2: [(6, 5), (9, 1), (11, 2), (13, 1), (14, 1), (16, 2)], 7: [(31, 1)]})",gillyweed,"defaultdict(<class 'list'>, {4: [(26, 6), (27, 2), (28, 1), (35, 2)]})",Gringotts,"defaultdict(<class 'list'>, {1: [(5, 12), (6, 3), (7, 1), (8, 6), (9, 1), (10, 1), (13, 1), (14, 1), (16, 1), (17, 1)], 2: [(4, 8), (13, 1)], 3: [(1, 1), (3, 2), (4, 2), (22, 1)], 4: [(5, 1), (10, 2)], 5: [(4, 1), (10, 2), (29, 1)], 6: [(3, 1), (4, 1), (5, 1)], 7: [(15, 4), (16, 1), (23, 2), (24, 9), (25, 4), (26, 9), (27, 3), (29, 2), (31, 1)]})",HPWorldNoun
