HP3Item,Supported,Supported WF,Related,Related WF,Unrelated,Unrelated WF,TypeOfSupported
11,Keeper,"defaultdict(<class 'list'>, {1: [(2, 1), (4, 3), (10, 4), (11, 2)], 2: [(7, 1)], 3: [(8, 2), (10, 8), (11, 1), (15, 5), (19, 3), (21, 1)], 4: [(8, 3), (10, 1), (35, 1)], 5: [(6, 1), (12, 2), (13, 7), (14, 1), (19, 8), (37, 2)], 6: [(2, 1), (11, 3), (14, 3), (15, 3), (19, 4)], 7: [(6, 2), (9, 1), (24, 2), (25, 1)]})",Seeker,"defaultdict(<class 'list'>, {1: [(9, 3), (10, 3), (11, 3), (12, 1), (13, 1), (15, 1), (16, 1)], 2: [(7, 5), (10, 3)], 3: [(5, 1), (8, 2), (9, 4), (12, 2), (13, 3), (15, 1)], 4: [(5, 1), (6, 1), (7, 3), (8, 3), (12, 1), (23, 1), (27, 1)], 5: [(10, 1), (19, 1), (21, 1), (26, 1)], 6: [(24, 2)], 7: [(7, 1), (10, 3), (36, 1)]})",Animagus,"defaultdict(<class 'list'>, {3: [(17, 2), (18, 4), (21, 1)], 4: [(26, 3), (27, 1), (37, 1)], 5: [(5, 1), (17, 1), (23, 2), (25, 1), (36, 1)]})",ProperName
12,Bludgers,"defaultdict(<class 'list'>, {1: [(10, 12), (11, 1)], 2: [(7, 2), (10, 2)], 3: [(8, 1), (15, 2)], 4: [(7, 2), (8, 2), (30, 2)], 5: [(5, 1), (14, 2)], 6: [(11, 1), (14, 1)]})",Quaffles,"defaultdict(<class 'list'>, {4: [(7, 1)], 5: [(13, 1)]})",Filch,"defaultdict(<class 'list'>, {1: [(7, 1), (8, 7), (9, 15), (11, 2), (12, 7), (13, 1), (15, 13), (16, 3)], 2: [(7, 2), (8, 21), (9, 14), (11, 3), (13, 6)], 3: [(7, 2), (8, 7), (9, 3), (10, 6), (11, 1), (14, 3)], 4: [(12, 1), (15, 1), (16, 5), (19, 1), (20, 1), (22, 1), (25, 30)], 5: [(11, 1), (14, 8), (16, 4), (17, 1), (18, 7), (20, 1), (21, 1), (25, 1), (28, 13), (29, 3), (30, 5), (32, 2), (38, 1)], 6: [(8, 1), (11, 2), (12, 6), (15, 10), (19, 4), (21, 1), (22, 2), (24, 2), (27, 2), (29, 1), (30, 1)], 7: [(29, 1), (30, 3), (31, 2)]})",HPWorldNoun
13,Herbology,"defaultdict(<class 'list'>, {1: [(8, 1), (14, 2), (16, 1), (17, 1)], 2: [(6, 2), (9, 1), (11, 3), (14, 1), (15, 2)], 3: [(8, 1), (9, 1), (16, 1)], 4: [(12, 1), (13, 1), (14, 2), (18, 1), (20, 1), (24, 1), (28, 1)], 5: [(9, 1), (10, 1), (12, 1), (13, 1), (18, 1), (25, 1), (27, 1), (28, 1), (29, 1), (31, 2)], 6: [(5, 2), (9, 3), (11, 2), (14, 1), (15, 1), (20, 1), (25, 1)], 7: [(36, 1)]})",Astronomy,"defaultdict(<class 'list'>, {1: [(15, 3)], 2: [(11, 1)], 3: [(4, 1), (8, 1), (9, 1), (16, 2)], 4: [(12, 1)], 5: [(12, 1), (14, 1), (26, 2), (27, 1), (31, 6)], 6: [(5, 1), (23, 1), (27, 1), (28, 1), (29, 3)], 7: [(31, 1)]})",Goblet,"defaultdict(<class 'list'>, {1: [(7, 1), (17, 1)], 2: [(5, 1), (12, 1)], 3: [(8, 8), (15, 1)], 4: [(12, 1), (15, 1), (16, 22), (17, 17), (18, 4), (19, 4), (20, 1), (21, 2), (23, 2), (26, 1), (27, 1), (28, 1), (29, 2), (33, 1), (35, 3), (36, 3), (37, 1)], 5: [(5, 2), (7, 1), (9, 1), (11, 1), (13, 2)], 6: [(12, 1), (15, 1), (20, 2), (26, 22)], 7: [(8, 5), (25, 2), (26, 1), (33, 1)]})",ProperName
14,Firebolt,"defaultdict(<class 'list'>, {3: [(4, 8), (11, 12), (12, 18), (13, 25), (14, 2), (15, 12), (22, 1)], 4: [(5, 1), (8, 2), (9, 1), (10, 3), (20, 7), (21, 1), (26, 2)], 5: [(3, 2), (14, 1), (19, 2), (21, 2), (23, 1), (25, 1), (28, 1), (30, 1), (32, 2)], 6: [(19, 2)], 7: [(4, 3)]})",Cleansweep,"defaultdict(<class 'list'>, {1: [(9, 1)], 2: [(7, 2)], 3: [(12, 1)], 5: [(9, 3), (10, 1), (13, 2)], 6: [(11, 1)]})",Cauldron,"defaultdict(<class 'list'>, {1: [(5, 10), (6, 1), (7, 1), (8, 5), (17, 1)], 2: [(1, 1), (3, 1), (4, 7), (7, 1), (11, 6), (12, 2), (15, 2)], 3: [(1, 1), (3, 5), (4, 8), (5, 2), (7, 3)], 4: [(2, 1), (5, 4), (7, 1), (9, 1), (10, 3), (11, 2), (14, 1), (18, 1), (22, 1), (23, 1), (27, 6), (32, 15), (36, 2)], 5: [(3, 1), (5, 2), (9, 1), (12, 6), (15, 2), (17, 2), (20, 1), (22, 2), (29, 2), (32, 1), (38, 1)], 6: [(3, 1), (6, 4), (9, 10), (10, 1), (13, 1), (16, 3), (18, 10), (20, 1), (22, 3), (24, 1), (30, 1)], 7: [(2, 1), (9, 2), (11, 1), (12, 1), (18, 2), (22, 1), (26, 2)]})",ProperName
15,Expelliarmus,"defaultdict(<class 'list'>, {2: [(11, 1), (13, 1), (16, 1)], 3: [(17, 2), (19, 1), (20, 1)], 4: [(31, 1), (34, 2)], 5: [(18, 5), (28, 1), (35, 1)], 6: [(27, 2)], 7: [(4, 1), (5, 2), (11, 1), (17, 1), (23, 1), (31, 1), (36, 1)]})",Alohomora,"defaultdict(<class 'list'>, {1: [(9, 1), (16, 1)], 3: [(21, 1)], 5: [(23, 1), (29, 1), (34, 1), (35, 1)], 6: [(8, 1)], 7: [(10, 1)]})",arm,"defaultdict(<class 'list'>, {1: [(1, 1), (4, 1), (5, 2), (7, 1), (9, 2), (10, 2), (12, 4), (13, 1), (15, 2), (16, 1), (17, 2)], 2: [(1, 1), (2, 2), (4, 2), (6, 2), (7, 3), (8, 1), (10, 15), (11, 5), (13, 1), (14, 1), (15, 1), (16, 1), (17, 5)], 3: [(1, 1), (2, 1), (3, 2), (4, 2), (5, 1), (6, 3), (7, 3), (8, 3), (9, 2), (10, 1), (11, 3), (13, 3), (14, 4), (15, 1), (17, 6), (19, 3), (20, 3), (21, 2), (22, 1)], 4: [(2, 2), (8, 3), (9, 3), (12, 1), (13, 1), (15, 2), (17, 3), (18, 1), (19, 1), (20, 1), (21, 3), (22, 1), (23, 1), (24, 3), (25, 3), (26, 1), (27, 2), (28, 1), (29, 1), (31, 3), (32, 3), (33, 7), (34, 1), (35, 2), (36, 5)], 5: [(1, 1), (2, 3), (3, 1), (4, 1), (6, 1), (7, 2), (10, 1), (12, 1), (13, 3), (14, 4), (17, 2), (18, 2), (19, 3), (20, 1), (21, 1), (22, 1), (23, 2), (24, 1), (25, 1), (26, 2), (27, 2), (28, 5), (30, 3), (31, 1), (33, 3), (34, 4), (35, 9), (36, 3), (37, 1)], 6: [(2, 3), (4, 4), (6, 2), (7, 6), (8, 1), (9, 2), (10, 1), (11, 4), (12, 3), (14, 6), (15, 4), (17, 2), (19, 2), (20, 2), (21, 1), (22, 1), (24, 1), (25, 2), (26, 5), (27, 1), (28, 2), (29, 1), (30, 1)], 7: [(3, 1), (4, 1), (5, 5), (6, 5), (7, 1), (8, 1), (9, 3), (10, 4), (11, 1), (12, 1), (13, 3), (14, 2), (15, 2), (16, 2), (17, 7), (18, 2), (20, 1), (23, 5), (24, 3), (25, 1), (26, 2), (28, 1), (29, 2), (30, 2), (31, 6), (32, 1), (33, 2), (35, 1), (36, 3)]})",ProperName
16,Alohomora,"defaultdict(<class 'list'>, {1: [(9, 1), (16, 1)], 3: [(21, 1)], 5: [(23, 1), (29, 1), (34, 1), (35, 1)], 6: [(8, 1)], 7: [(10, 1)]})",Lumos,"defaultdict(<class 'list'>, {2: [(15, 1), (16, 1)], 3: [(3, 1), (10, 1), (13, 1), (17, 1)], 4: [(9, 1), (26, 1), (28, 1), (31, 1)], 5: [(1, 1), (3, 1), (30, 1)], 6: [(4, 1), (26, 1), (29, 1)], 7: [(10, 1), (17, 2), (19, 1), (26, 1), (34, 1)]})",butterbeer,"defaultdict(<class 'list'>, {3: [(8, 2), (10, 3), (12, 5), (13, 2), (22, 1)], 4: [(17, 1), (19, 4), (21, 1), (23, 1), (24, 3), (28, 4)], 5: [(5, 6), (9, 2), (10, 1), (13, 4), (16, 5), (18, 1), (22, 4), (26, 1)], 6: [(12, 2), (14, 2), (15, 1), (18, 1), (19, 1)], 7: [(8, 2), (11, 1), (23, 1)]})",ProperName
17,Crookshanks,"defaultdict(<class 'list'>, {3: [(4, 4), (5, 6), (8, 15), (9, 4), (11, 8), (13, 6), (14, 2), (15, 7), (17, 26), (18, 1), (19, 6), (20, 4), (21, 1), (22, 4)], 4: [(5, 5), (11, 4), (14, 3), (24, 1), (26, 4), (37, 1)], 5: [(4, 1), (5, 3), (6, 1), (10, 7), (13, 2), (14, 2), (15, 2), (17, 3), (18, 2), (19, 1), (24, 2), (29, 2), (38, 1)], 6: [(5, 2), (7, 1), (14, 2)], 7: [(6, 2), (32, 2)]})",Trevor,"defaultdict(<class 'list'>, {1: [(6, 1), (16, 2)], 3: [(7, 4)], 4: [(20, 1)], 5: [(10, 6)], 6: [(7, 3)]})",Brothers,"defaultdict(<class 'list'>, {1: [(6, 5), (7, 2), (8, 1), (10, 1), (12, 3)], 2: [(3, 1), (17, 1)], 3: [(4, 1), (10, 1)], 4: [(2, 1), (5, 1), (12, 2), (17, 1), (18, 2), (19, 1), (23, 1), (25, 1), (27, 2)], 5: [(4, 2), (5, 1), (11, 1), (16, 1), (18, 1), (22, 1)], 6: [(10, 1), (14, 1), (15, 1), (29, 1)], 7: [(2, 2), (6, 1), (7, 1), (11, 1), (16, 1), (18, 1), (21, 14), (22, 1), (28, 4), (32, 1), (35, 3), (36, 2)]})",ProperName
18,Grindelwald,"defaultdict(<class 'list'>, {1: [(6, 1), (13, 1)], 7: [(2, 5), (8, 1), (16, 2), (18, 22), (20, 5), (24, 4), (28, 5), (33, 1), (35, 9)]})",Voldemort,"defaultdict(<class 'list'>, {1: [(1, 4), (4, 1), (6, 2), (15, 4), (16, 6), (17, 14)], 2: [(1, 4), (2, 1), (15, 1), (17, 6), (18, 8)], 3: [(1, 2), (3, 1), (4, 2), (5, 1), (7, 3), (8, 2), (10, 2), (11, 4), (12, 2), (17, 2), (18, 1), (19, 10), (22, 5)], 4: [(1, 1), (2, 16), (3, 1), (13, 1), (14, 5), (17, 4), (19, 5), (27, 5), (28, 2), (29, 3), (30, 7), (31, 3), (32, 1), (33, 47), (34, 41), (35, 5), (36, 22), (37, 12)], 5: [(1, 6), (2, 4), (4, 4), (5, 10), (6, 6), (9, 6), (10, 1), (11, 1), (12, 2), (14, 2), (15, 3), (16, 3), (18, 5), (19, 1), (21, 1), (23, 9), (24, 3), (25, 2), (26, 5), (31, 2), (32, 10), (33, 1), (34, 3), (35, 3), (36, 26), (37, 39), (38, 3)], 6: [(3, 2), (4, 8), (5, 4), (6, 1), (7, 4), (8, 5), (9, 1), (10, 2), (11, 1), (12, 1), (13, 5), (14, 1), (16, 6), (17, 12), (18, 3), (19, 2), (20, 55), (22, 4), (23, 42), (25, 8), (26, 12), (27, 1), (28, 1), (29, 2), (30, 14)], 7: [(1, 36), (2, 2), (3, 4), (4, 7), (5, 17), (6, 8), (7, 4), (8, 2), (9, 6), (10, 17), (11, 9), (12, 6), (14, 7), (15, 9), (16, 2), (17, 4), (18, 2), (19, 1), (21, 1), (22, 11), (23, 11), (24, 11), (25, 3), (27, 5), (29, 3), (30, 4), (31, 13), (32, 27), (33, 27), (34, 21), (35, 20), (36, 60)]})",chess,"defaultdict(<class 'list'>, {1: [(12, 5), (13, 2), (16, 3), (17, 2)], 2: [(11, 1)], 3: [(11, 1)], 4: [(10, 1), (23, 2), (37, 1)], 5: [(24, 1), (31, 1), (38, 1)], 7: [(20, 1)]})",ProperName
19,Quibbler,"defaultdict(<class 'list'>, {5: [(7, 1), (10, 7), (11, 1), (13, 1), (25, 3), (26, 10), (27, 1), (38, 5)], 6: [(7, 3)], 7: [(15, 2), (20, 1), (21, 1), (22, 1), (29, 1)]})",Prophet,"defaultdict(<class 'list'>, {1: [(5, 1), (6, 1), (8, 1)], 2: [(4, 2), (5, 1), (12, 2), (18, 1)], 3: [(1, 5), (3, 1), (4, 2), (5, 1), (7, 1), (12, 1), (19, 1), (22, 2)], 4: [(5, 1), (10, 6), (13, 2), (18, 4), (19, 4), (21, 2), (22, 1), (24, 5), (25, 1), (27, 1), (28, 3), (29, 1), (31, 5), (37, 1)], 5: [(1, 2), (4, 2), (5, 2), (6, 2), (7, 3), (9, 2), (10, 1), (11, 5), (12, 1), (14, 7), (15, 2), (17, 1), (18, 1), (22, 5), (25, 9), (26, 2), (27, 2), (35, 1), (38, 5)], 6: [(4, 4), (5, 1), (6, 1), (7, 5), (11, 4), (16, 2), (17, 2), (18, 1), (21, 2), (25, 1), (30, 2)], 7: [(1, 1), (2, 5), (6, 1), (8, 2), (11, 5), (12, 4), (15, 3), (19, 1), (22, 1), (23, 2)]})",turban,"defaultdict(<class 'list'>, {1: [(7, 5), (8, 2), (10, 1), (12, 1), (15, 1), (17, 4)], 6: [(19, 2)]})",ProperName
20,Durmstrang,"defaultdict(<class 'list'>, {4: [(11, 7), (12, 3), (15, 6), (16, 15), (17, 1), (18, 1), (19, 2), (21, 1), (22, 1), (23, 5), (24, 2), (28, 4), (29, 1), (31, 2), (35, 1), (37, 3)], 5: [(16, 1)], 7: [(8, 1), (16, 1), (18, 4)]})",Beauxbatons,"defaultdict(<class 'list'>, {4: [(9, 3), (11, 1), (12, 3), (15, 5), (16, 15), (19, 3), (21, 1), (22, 1), (23, 8), (24, 3), (28, 6), (29, 1), (31, 3), (37, 2)], 6: [(5, 1)]})",stag,"defaultdict(<class 'list'>, {3: [(21, 1), (22, 2)], 4: [(31, 2)], 5: [(1, 5), (3, 1), (8, 2), (16, 1), (31, 1)], 7: [(11, 1), (13, 4), (19, 1), (28, 8), (32, 1), (36, 1)]})",ProperName
