HP3Item,Category,Word,Word WF,Alternate form,Alternate form WF
12,Ball used in Quidditch,Quaffles,"defaultdict(<class 'list'>, {4: [(7, 1)], 5: [(13, 1)]})",,"defaultdict(<class 'list'>, {})"
13,Magical area of study--Hogwarts,Astronomy,"defaultdict(<class 'list'>, {1: [(15, 3)], 2: [(11, 1)], 3: [(4, 1), (8, 1), (9, 1), (16, 2)], 4: [(12, 1)], 5: [(12, 1), (14, 1), (26, 2), (27, 1), (31, 6)], 6: [(5, 1), (23, 1), (27, 1), (28, 1), (29, 3)], 7: [(31, 1)]})",,"defaultdict(<class 'list'>, {})"
13,Magical area of study--Hogwarts,Herbology,"defaultdict(<class 'list'>, {1: [(8, 1), (14, 2), (16, 1), (17, 1)], 2: [(6, 2), (9, 1), (11, 3), (14, 1), (15, 2)], 3: [(8, 1), (9, 1), (16, 1)], 4: [(12, 1), (13, 1), (14, 2), (18, 1), (20, 1), (24, 1), (28, 1)], 5: [(9, 1), (10, 1), (12, 1), (13, 1), (18, 1), (25, 1), (27, 1), (28, 1), (29, 1), (31, 2)], 6: [(5, 2), (9, 3), (11, 2), (14, 1), (15, 1), (20, 1), (25, 1)], 7: [(36, 1)]})",,"defaultdict(<class 'list'>, {})"
14,Name of broomstick,Cleansweep,"defaultdict(<class 'list'>, {1: [(9, 1)], 2: [(7, 2)], 3: [(12, 1)], 5: [(9, 3), (10, 1), (13, 2)], 6: [(11, 1)]})",,"defaultdict(<class 'list'>, {})"
14,Name of broomstick,Firebolt,"defaultdict(<class 'list'>, {3: [(4, 8), (11, 12), (12, 18), (13, 25), (14, 2), (15, 12), (22, 1)], 4: [(5, 1), (8, 2), (9, 1), (10, 3), (20, 7), (21, 1), (26, 2)], 5: [(3, 2), (14, 1), (19, 2), (21, 2), (23, 1), (25, 1), (28, 1), (30, 1), (32, 2)], 6: [(19, 2)], 7: [(4, 3)]})",,"defaultdict(<class 'list'>, {})"
15,Spell,Expelliarmus,"defaultdict(<class 'list'>, {2: [(11, 1), (13, 1), (16, 1)], 3: [(17, 2), (19, 1), (20, 1)], 4: [(31, 1), (34, 2)], 5: [(18, 5), (28, 1), (35, 1)], 6: [(27, 2)], 7: [(4, 1), (5, 2), (11, 1), (17, 1), (23, 1), (31, 1), (36, 1)]})",,"defaultdict(<class 'list'>, {})"
16,Spell,Alohomora,"defaultdict(<class 'list'>, {1: [(9, 1), (16, 1)], 3: [(21, 1)], 5: [(23, 1), (29, 1), (34, 1), (35, 1)], 6: [(8, 1)], 7: [(10, 1)]})",,"defaultdict(<class 'list'>, {})"
17,Name of magical creature--pet--cat,Crookshanks,"defaultdict(<class 'list'>, {3: [(4, 4), (5, 6), (8, 15), (9, 4), (11, 8), (13, 6), (14, 2), (15, 7), (17, 26), (18, 1), (19, 6), (20, 4), (21, 1), (22, 4)], 4: [(5, 5), (11, 4), (14, 3), (24, 1), (26, 4), (37, 1)], 5: [(4, 1), (5, 3), (6, 1), (10, 7), (13, 2), (14, 2), (15, 2), (17, 3), (18, 2), (19, 1), (24, 2), (29, 2), (38, 1)], 6: [(5, 2), (7, 1), (14, 2)], 7: [(6, 2), (32, 2)]})",,"defaultdict(<class 'list'>, {})"
17,Name of magical creature--pet--frog,Trevor,"defaultdict(<class 'list'>, {1: [(6, 1), (16, 2)], 3: [(7, 4)], 4: [(20, 1)], 5: [(10, 6)], 6: [(7, 3)]})",,"defaultdict(<class 'list'>, {})"
18,Name of wizard--dark wizard,Grindelwald,"defaultdict(<class 'list'>, {1: [(6, 1), (13, 1)], 7: [(2, 5), (8, 1), (16, 2), (18, 22), (20, 5), (24, 4), (28, 5), (33, 1), (35, 9)]})",,"defaultdict(<class 'list'>, {})"
19,Name of wizarding media,Quibbler,"defaultdict(<class 'list'>, {5: [(7, 1), (10, 7), (11, 1), (13, 1), (25, 3), (26, 10), (27, 1), (38, 5)], 6: [(7, 3)], 7: [(15, 2), (20, 1), (21, 1), (22, 1), (29, 1)]})",,"defaultdict(<class 'list'>, {})"
