HP3Item,Category,Word,Word WF,Alternate form,Alternate form WF
52,Magical ability,seer,"defaultdict(<class 'list'>, {3: [(16, 1)], 5: [(15, 1), (22, 1), (37, 1)], 6: [(25, 3)]})",,"defaultdict(<class 'list'>, {})"
53,Magical creature--beast,Flobberworms,"defaultdict(<class 'list'>, {3: [(6, 1), (8, 2), (11, 1), (16, 2)], 5: [(13, 1)], 6: [(11, 1)]})",,"defaultdict(<class 'list'>, {})"
54,Hogwarts house,Slytherin,"defaultdict(<class 'list'>, {1: [(5, 4), (6, 1), (7, 15), (8, 1), (9, 5), (11, 7), (13, 5), (14, 1), (15, 1), (17, 9)], 2: [(5, 4), (6, 1), (7, 10), (8, 3), (9, 20), (10, 8), (11, 7), (12, 12), (13, 2), (14, 4), (15, 1), (16, 4), (17, 8), (18, 5)], 3: [(5, 3), (6, 5), (7, 1), (9, 7), (11, 1), (12, 2), (13, 4), (14, 1), (15, 29)], 4: [(12, 6), (15, 2), (16, 5), (18, 3), (19, 2), (25, 1), (27, 1), (28, 1), (31, 2), (37, 2)], 5: [(10, 1), (11, 6), (13, 1), (14, 2), (17, 1), (18, 1), (19, 25), (21, 1), (22, 2), (24, 1), (25, 1), (27, 1), (28, 2), (30, 4), (32, 2), (38, 1)], 6: [(4, 1), (5, 1), (7, 3), (8, 2), (9, 2), (10, 1), (14, 7), (15, 1), (17, 1), (18, 3), (19, 3), (23, 3), (24, 1), (29, 1), (30, 2)], 7: [(7, 1), (10, 2), (16, 1), (23, 2), (25, 1), (29, 1), (30, 1), (31, 4), (32, 1), (33, 6), (36, 7)]})",,"defaultdict(<class 'list'>, {})"
55,Magical artifact--detector,Remembrall,"defaultdict(<class 'list'>, {1: [(9, 7), (10, 1)], 5: [(10, 1)]})",,"defaultdict(<class 'list'>, {})"
55,Magical artifact--detector,Sneakoscope,"defaultdict(<class 'list'>, {3: [(1, 2), (5, 4), (11, 4)], 4: [(20, 2), (23, 2)], 7: [(2, 1), (7, 1), (14, 2), (15, 1), (19, 1), (22, 1)]})",,"defaultdict(<class 'list'>, {})"
56,Ball used in Quidditch,Bludger,"defaultdict(<class 'list'>, {1: [(10, 1), (11, 7), (13, 1)], 2: [(10, 33)], 3: [(9, 2), (13, 4), (15, 6)], 4: [(7, 1), (8, 4), (20, 1), (22, 1)], 5: [(13, 1), (14, 2), (18, 1), (19, 13), (26, 1)], 6: [(11, 1), (14, 4), (19, 2), (20, 1), (24, 1)], 7: [(31, 1)]})",,"defaultdict(<class 'list'>, {})"
56,Ball used in Quidditch,snitch,"defaultdict(<class 'list'>, {1: [(10, 4), (11, 8), (13, 4), (17, 2)], 2: [(7, 3), (10, 10)], 3: [(8, 1), (9, 11), (12, 1), (13, 15), (15, 12), (22, 1)], 4: [(7, 2), (8, 10), (37, 1)], 5: [(14, 5), (18, 1), (19, 16), (25, 1), (26, 3), (28, 6), (29, 1), (31, 1), (35, 1)], 6: [(14, 6), (16, 1), (19, 3), (24, 1)], 7: [(7, 23), (16, 1), (18, 1), (19, 1), (20, 1), (22, 8), (23, 1), (34, 3), (36, 1)]})",,"defaultdict(<class 'list'>, {})"
57,Type of wizard,squibs,"defaultdict(<class 'list'>, {2: [(9, 2), (17, 1)], 5: [(8, 1)], 6: [(10, 1), (16, 1)], 7: [(8, 2), (11, 1)]})",,"defaultdict(<class 'list'>, {})"
58,Magical creature--uncategorized,house-elf,"defaultdict(<class 'list'>, {})",,"defaultdict(<class 'list'>, {})"
58,Magical creature--uncategorized,veela,"defaultdict(<class 'list'>, {4: [(8, 23), (9, 3), (16, 6), (18, 3), (22, 1)], 6: [(11, 1)], 7: [(7, 1), (8, 3)]})",,"defaultdict(<class 'list'>, {})"
59,Name of wizard--dark wizard,Voldemort,"defaultdict(<class 'list'>, {1: [(1, 4), (4, 1), (6, 2), (15, 4), (16, 6), (17, 14)], 2: [(1, 4), (2, 1), (15, 1), (17, 6), (18, 8)], 3: [(1, 2), (3, 1), (4, 2), (5, 1), (7, 3), (8, 2), (10, 2), (11, 4), (12, 2), (17, 2), (18, 1), (19, 10), (22, 5)], 4: [(1, 1), (2, 16), (3, 1), (13, 1), (14, 5), (17, 4), (19, 5), (27, 5), (28, 2), (29, 3), (30, 7), (31, 3), (32, 1), (33, 47), (34, 41), (35, 5), (36, 22), (37, 12)], 5: [(1, 6), (2, 4), (4, 4), (5, 10), (6, 6), (9, 6), (10, 1), (11, 1), (12, 2), (14, 2), (15, 3), (16, 3), (18, 5), (19, 1), (21, 1), (23, 9), (24, 3), (25, 2), (26, 5), (31, 2), (32, 10), (33, 1), (34, 3), (35, 3), (36, 26), (37, 39), (38, 3)], 6: [(3, 2), (4, 8), (5, 4), (6, 1), (7, 4), (8, 5), (9, 1), (10, 2), (11, 1), (12, 1), (13, 5), (14, 1), (16, 6), (17, 12), (18, 3), (19, 2), (20, 55), (22, 4), (23, 42), (25, 8), (26, 12), (27, 1), (28, 1), (29, 2), (30, 14)], 7: [(1, 36), (2, 2), (3, 4), (4, 7), (5, 17), (6, 8), (7, 4), (8, 2), (9, 6), (10, 17), (11, 9), (12, 6), (14, 7), (15, 9), (16, 2), (17, 4), (18, 2), (19, 1), (21, 1), (22, 11), (23, 11), (24, 11), (25, 3), (27, 5), (29, 3), (30, 4), (31, 13), (32, 27), (33, 27), (34, 21), (35, 20), (36, 60)]})",,"defaultdict(<class 'list'>, {})"
60,Name of magical creature--pet--rat,Scabbers,"defaultdict(<class 'list'>, {1: [(6, 11), (7, 1), (11, 1), (12, 1)], 2: [(3, 1), (5, 1), (12, 1)], 3: [(1, 1), (4, 16), (5, 2), (8, 11), (9, 1), (11, 10), (12, 3), (13, 10), (14, 1), (15, 1), (16, 12), (17, 11), (18, 11), (19, 14), (21, 2)], 4: [(5, 2)], 5: [(9, 1)]})",,"defaultdict(<class 'list'>, {})"
61,Name of wizard--Hogwarts professor,Quirrell,"defaultdict(<class 'list'>, {1: [(5, 9), (7, 4), (8, 4), (9, 1), (10, 3), (11, 1), (12, 1), (13, 7), (14, 3), (15, 4), (17, 54)], 5: [(9, 1), (13, 2), (15, 2)], 6: [(2, 1), (4, 1), (8, 1)], 7: [(33, 1)]})",,"defaultdict(<class 'list'>, {})"
61,Name of wizard--Hogwarts professor,Trelawney,"defaultdict(<class 'list'>, {3: [(6, 29), (8, 1), (11, 8), (12, 1), (15, 15), (16, 14), (22, 2)], 4: [(10, 2), (13, 12), (15, 1), (18, 1), (20, 1), (21, 3), (29, 8)], 5: [(12, 6), (13, 1), (15, 22), (17, 9), (18, 1), (20, 1), (21, 1), (22, 1), (25, 3), (26, 12), (27, 7), (29, 1), (30, 1), (31, 1), (37, 3), (38, 2)], 6: [(8, 1), (9, 2), (10, 1), (15, 7), (20, 4), (25, 18), (26, 1)], 7: [(32, 1), (33, 1)]})",,"defaultdict(<class 'list'>, {})"
62,Magical creature--beast,centaur,"defaultdict(<class 'list'>, {1: [(15, 7)], 5: [(7, 1), (27, 8), (30, 4), (33, 14), (36, 4)], 6: [(4, 1), (9, 1), (25, 1), (30, 1)], 7: [(31, 1)]})",,"defaultdict(<class 'list'>, {})"
62,Magical creature--beast,unicorn,"defaultdict(<class 'list'>, {1: [(5, 3), (6, 1), (15, 17), (17, 1)], 3: [(4, 1), (20, 1), (21, 1)], 4: [(18, 1), (24, 6), (26, 1), (33, 1)], 5: [(31, 1)], 6: [(7, 1), (18, 1), (22, 2)], 7: [(13, 1), (20, 1), (24, 1)]})",,"defaultdict(<class 'list'>, {})"
63,Magical creature--spirit,ghost,"defaultdict(<class 'list'>, {1: [(7, 11), (8, 1), (12, 1), (16, 2)], 2: [(3, 1), (8, 9), (9, 1), (11, 1), (12, 1), (14, 1), (16, 1), (17, 1)], 3: [(8, 1), (19, 1), (21, 1)], 4: [(9, 1), (12, 2), (15, 1), (20, 1), (21, 2), (22, 1), (25, 1), (33, 1), (34, 4), (36, 1)], 5: [(3, 1), (11, 3), (12, 1), (38, 2)], 6: [(7, 1), (8, 1), (13, 1), (19, 1), (21, 5), (23, 1)], 7: [(25, 2), (27, 1), (29, 1), (31, 6), (34, 1)]})",,"defaultdict(<class 'list'>, {})"
63,Magical creature--uncategorized,dwarf,"defaultdict(<class 'list'>, {1: [(16, 1)], 2: [(13, 6)]})",,"defaultdict(<class 'list'>, {})"
64,Name of wizard--Hogwarts professor,Hagrid,"defaultdict(<class 'list'>, {1: [(1, 11), (4, 38), (5, 99), (6, 11), (7, 4), (8, 23), (9, 2), (11, 16), (12, 19), (14, 42), (15, 43), (16, 16), (17, 12)], 2: [(1, 1), (2, 1), (4, 18), (5, 1), (7, 27), (11, 3), (12, 8), (13, 2), (14, 40), (15, 22), (16, 2), (17, 7), (18, 1)], 3: [(1, 6), (3, 2), (4, 2), (5, 9), (6, 51), (7, 2), (8, 1), (10, 12), (11, 41), (12, 2), (13, 1), (14, 16), (15, 6), (16, 30), (17, 3), (21, 20), (22, 7)], 4: [(3, 2), (11, 3), (12, 6), (13, 15), (15, 9), (16, 30), (17, 1), (18, 8), (19, 49), (20, 8), (21, 22), (22, 11), (23, 15), (24, 62), (25, 1), (26, 10), (28, 39), (29, 4), (31, 6), (35, 1), (36, 2), (37, 18)], 5: [(6, 1), (9, 2), (10, 5), (11, 2), (12, 2), (13, 11), (14, 4), (15, 6), (16, 2), (17, 2), (20, 112), (21, 41), (23, 1), (25, 23), (26, 1), (27, 11), (28, 1), (29, 5), (30, 115), (31, 27), (32, 2), (33, 4), (38, 12)], 6: [(3, 3), (6, 16), (7, 1), (8, 11), (9, 2), (11, 27), (12, 7), (13, 1), (15, 1), (17, 3), (19, 22), (22, 49), (28, 30), (29, 11), (30, 8)], 7: [(2, 1), (3, 1), (4, 42), (5, 39), (6, 2), (7, 10), (8, 4), (14, 1), (15, 3), (16, 1), (17, 1), (22, 2), (24, 1), (26, 1), (27, 1), (28, 1), (31, 10), (32, 12), (34, 5), (36, 13)]})",,"defaultdict(<class 'list'>, {})"
64,Name of wizard--Hogwarts staff,Filch,"defaultdict(<class 'list'>, {1: [(7, 1), (8, 7), (9, 15), (11, 2), (12, 7), (13, 1), (15, 13), (16, 3)], 2: [(7, 2), (8, 21), (9, 14), (11, 3), (13, 6)], 3: [(7, 2), (8, 7), (9, 3), (10, 6), (11, 1), (14, 3)], 4: [(12, 1), (15, 1), (16, 5), (19, 1), (20, 1), (22, 1), (25, 30)], 5: [(11, 1), (14, 8), (16, 4), (17, 1), (18, 7), (20, 1), (21, 1), (25, 1), (28, 13), (29, 3), (30, 5), (32, 2), (38, 1)], 6: [(8, 1), (11, 2), (12, 6), (15, 10), (19, 4), (21, 1), (22, 2), (24, 2), (27, 2), (29, 1), (30, 1)], 7: [(29, 1), (30, 3), (31, 2)]})",,"defaultdict(<class 'list'>, {})"
65,Name of wizard--Hogwarts staff,Pomfrey,"defaultdict(<class 'list'>, {1: [(1, 1), (9, 1), (13, 1), (14, 3), (16, 1), (17, 6)], 2: [(8, 1), (10, 14), (11, 1), (12, 1), (13, 4), (14, 1), (15, 1), (16, 4), (18, 1)], 3: [(5, 7), (6, 3), (9, 2), (10, 1), (12, 1), (14, 1), (18, 1), (19, 1), (21, 11), (22, 9)], 4: [(10, 1), (13, 2), (16, 1), (20, 3), (23, 1), (26, 5), (27, 1), (28, 1), (35, 1), (36, 9)], 5: [(19, 1), (20, 1), (27, 1), (28, 1), (30, 1), (31, 1), (32, 4), (37, 1), (38, 4)], 6: [(8, 2), (12, 2), (13, 2), (18, 1), (19, 11), (20, 1), (27, 1), (29, 8)], 7: [(31, 1), (33, 1)]})",,"defaultdict(<class 'list'>, {})"
66,Name of wizard--Hogwarts staff,Hooch,"defaultdict(<class 'list'>, {1: [(7, 1), (9, 7), (11, 3)], 2: [(10, 4), (14, 1), (16, 1)], 3: [(9, 3), (11, 1), (13, 6), (15, 7)], 5: [(19, 6)], 6: [(14, 1)]})",,"defaultdict(<class 'list'>, {})"
67,Name of magical creature--poltergeist,Peeves,"defaultdict(<class 'list'>, {1: [(7, 6), (8, 2), (9, 15), (10, 1), (13, 1), (14, 1), (16, 6)], 2: [(8, 16), (9, 1), (11, 8), (13, 1), (14, 1)], 3: [(7, 8), (8, 4), (9, 3), (10, 1), (22, 2)], 4: [(12, 10), (15, 1), (20, 1), (22, 1), (25, 19)], 5: [(12, 7), (14, 1), (17, 1), (18, 5), (21, 1), (28, 1), (29, 3), (30, 2), (32, 3), (38, 2)], 6: [(15, 1), (18, 1), (19, 7), (23, 1), (25, 2), (29, 1)], 7: [(16, 1), (29, 1), (30, 4), (32, 1), (36, 2)]})",,"defaultdict(<class 'list'>, {})"
68,Magical creature--beast,dragon,"defaultdict(<class 'list'>, {1: [(5, 5), (14, 16), (15, 1), (16, 8), (17, 1)], 2: [(4, 1), (6, 1), (8, 1), (11, 1), (14, 1)], 3: [(1, 1), (11, 1)], 4: [(5, 2), (9, 1), (13, 4), (15, 1), (16, 1), (18, 2), (19, 10), (20, 18), (21, 2), (22, 2), (23, 1), (24, 1), (27, 1), (28, 1), (35, 1)], 5: [(2, 1), (13, 1), (16, 1), (19, 1), (20, 10), (22, 1), (24, 1), (25, 1), (27, 1), (31, 3), (38, 1)], 6: [(1, 1), (4, 2), (9, 1), (11, 1), (14, 1), (18, 2), (22, 1), (24, 1), (30, 1)], 7: [(1, 2), (2, 2), (4, 5), (22, 1), (24, 2), (26, 11), (27, 14), (29, 2)]})",,"defaultdict(<class 'list'>, {})"
68,Magical creature--beast,fairy,"defaultdict(<class 'list'>, {3: [(21, 1)], 4: [(13, 1), (22, 1), (23, 3)], 5: [(13, 1)], 7: [(21, 1), (22, 1), (24, 1)]})",,"defaultdict(<class 'list'>, {})"
69,Magical creature--uncategorized,giants,"defaultdict(<class 'list'>, {4: [(8, 1), (23, 4), (24, 4), (31, 2), (33, 1), (36, 3)], 5: [(5, 1), (20, 24), (25, 1), (31, 1), (33, 1)], 6: [(1, 1)], 7: [(31, 1), (32, 1), (34, 2), (36, 6)]})",,"defaultdict(<class 'list'>, {})"
70,Magical creature--beast,gnomes,"defaultdict(<class 'list'>, {2: [(3, 10)], 4: [(5, 2)], 7: [(6, 1), (8, 4)]})",,"defaultdict(<class 'list'>, {})"
70,Magical creature--beast,pixies,"defaultdict(<class 'list'>, {2: [(6, 7), (10, 1), (14, 1)], 3: [(7, 1)], 5: [(2, 1)]})",,"defaultdict(<class 'list'>, {})"
73,Name of wizard--Ministry of Magic--Hogwarts Professor--dark wizard,Umbridge,"defaultdict(<class 'list'>, {5: [(8, 2), (11, 13), (12, 49), (13, 21), (14, 10), (15, 66), (16, 11), (17, 22), (18, 14), (19, 11), (20, 18), (21, 19), (22, 1), (23, 1), (24, 2), (25, 8), (26, 20), (27, 42), (28, 22), (29, 34), (30, 12), (31, 16), (32, 41), (33, 27), (36, 1), (37, 3), (38, 8)], 6: [(4, 2), (5, 3), (7, 1), (16, 3), (17, 1), (30, 2)], 7: [(12, 4), (13, 28), (14, 1), (29, 1)]})",,"defaultdict(<class 'list'>, {})"
74,Magical creature--beast--winged horse,thestrals,"defaultdict(<class 'list'>, {5: [(17, 3), (21, 12), (27, 1), (30, 2), (33, 5), (34, 6), (38, 1)], 7: [(4, 2), (36, 3)]})",,"defaultdict(<class 'list'>, {})"
74,Magical creature--uncategorized,boggarts,"defaultdict(<class 'list'>, {3: [(7, 2), (8, 1), (9, 1)], 4: [(14, 1)]})",,"defaultdict(<class 'list'>, {})"
75,Name of magical creature--house-elf,Dobby,"defaultdict(<class 'list'>, {2: [(2, 66), (3, 3), (4, 1), (10, 39), (11, 4), (16, 1), (18, 26)], 4: [(8, 14), (9, 2), (16, 1), (21, 77), (23, 22), (26, 25), (27, 3), (28, 15), (29, 1), (35, 1), (36, 1)], 5: [(1, 4), (18, 31), (21, 3), (23, 2), (27, 15)], 6: [(17, 1), (19, 16), (21, 21)], 7: [(23, 16), (24, 14), (25, 1), (26, 1), (28, 1)]})",,"defaultdict(<class 'list'>, {})"
75,Name of magical creature--house-elf,Kreacher,"defaultdict(<class 'list'>, {5: [(4, 3), (6, 41), (9, 2), (14, 5), (16, 1), (21, 1), (22, 4), (23, 6), (24, 3), (29, 2), (32, 13), (37, 20)], 6: [(3, 17), (16, 2), (19, 16), (21, 17)], 7: [(10, 89), (11, 16), (12, 9), (14, 5), (22, 1), (36, 2)]})",,"defaultdict(<class 'list'>, {})"
76,Hogwarts house,Gryffindor,"defaultdict(<class 'list'>, {1: [(6, 2), (7, 13), (8, 4), (9, 9), (10, 5), (11, 18), (12, 4), (13, 9), (15, 6), (16, 4), (17, 12)], 2: [(4, 1), (5, 13), (6, 5), (7, 10), (8, 2), (9, 5), (10, 7), (11, 6), (12, 2), (13, 5), (14, 8), (15, 2), (16, 3), (18, 9)], 3: [(5, 7), (6, 4), (7, 3), (8, 6), (9, 8), (10, 4), (11, 3), (12, 11), (13, 20), (14, 4), (15, 40), (16, 2), (19, 1), (21, 1), (22, 2)], 4: [(5, 2), (6, 1), (7, 2), (12, 11), (13, 2), (14, 3), (15, 5), (16, 2), (17, 8), (18, 6), (20, 2), (21, 2), (22, 3), (23, 4), (24, 2), (25, 2), (26, 1), (27, 3), (28, 5), (29, 1), (30, 1), (31, 3), (37, 1)], 5: [(9, 3), (10, 1), (11, 10), (12, 6), (13, 10), (14, 7), (15, 6), (17, 8), (18, 2), (19, 20), (21, 3), (23, 1), (24, 1), (26, 10), (27, 1), (28, 8), (29, 4), (30, 3), (31, 5), (37, 1), (38, 2)], 6: [(4, 2), (7, 2), (8, 7), (9, 7), (11, 5), (14, 13), (15, 1), (17, 1), (18, 3), (19, 4), (21, 2), (23, 2), (24, 7), (28, 1), (29, 2), (30, 1)], 7: [(7, 4), (10, 1), (12, 1), (15, 6), (16, 4), (19, 4), (22, 1), (23, 2), (24, 2), (25, 9), (26, 1), (29, 2), (31, 7), (33, 6), (36, 4)]})",,"defaultdict(<class 'list'>, {})"
77,Name of wizard--Hogwarts professor,McGonagall,"defaultdict(<class 'list'>, {1: [(1, 25), (4, 1), (7, 14), (8, 5), (9, 15), (10, 9), (11, 2), (12, 3), (13, 1), (14, 2), (15, 7), (16, 8)], 2: [(5, 15), (6, 2), (7, 4), (9, 3), (10, 8), (11, 10), (12, 3), (13, 1), (14, 12), (15, 1), (16, 17), (18, 7)], 3: [(5, 13), (6, 9), (8, 14), (9, 5), (10, 13), (11, 23), (12, 7), (13, 8), (14, 4), (15, 3), (16, 1), (18, 2), (21, 3), (22, 1)], 4: [(12, 12), (13, 9), (15, 6), (17, 6), (20, 7), (22, 13), (23, 3), (26, 5), (28, 1), (31, 4), (35, 8), (36, 11), (37, 2)], 5: [(6, 1), (11, 6), (12, 14), (13, 8), (15, 18), (16, 2), (17, 8), (18, 1), (19, 9), (21, 4), (22, 20), (25, 3), (26, 8), (27, 13), (28, 1), (29, 26), (30, 2), (31, 8), (32, 5), (38, 8)], 6: [(5, 1), (8, 1), (9, 12), (11, 1), (12, 16), (13, 1), (14, 1), (15, 1), (18, 4), (19, 5), (24, 2), (28, 2), (29, 28), (30, 4)], 7: [(12, 1), (16, 1), (30, 45), (31, 9), (32, 1), (33, 4), (36, 5)]})",,"defaultdict(<class 'list'>, {})"
77,Name of wizard--Hogwarts professor,Sprout,"defaultdict(<class 'list'>, {1: [(8, 1), (14, 1), (16, 1)], 2: [(6, 15), (9, 1), (11, 1), (12, 1), (14, 1), (15, 2), (16, 3)], 3: [(8, 1), (11, 1)], 4: [(12, 1), (13, 6), (14, 2), (18, 1), (20, 1), (23, 1), (28, 1), (36, 1)], 5: [(10, 1), (11, 1), (13, 2), (14, 1), (18, 1), (25, 2), (26, 3), (31, 1), (33, 1)], 6: [(9, 1), (14, 2), (16, 3), (18, 2), (19, 1), (22, 3), (29, 5), (30, 1)], 7: [(12, 1), (30, 6), (31, 2), (36, 1)]})",,"defaultdict(<class 'list'>, {})"
78,Name of wizard--Hogwarts professor,Flitwick,"defaultdict(<class 'list'>, {1: [(8, 3), (9, 1), (10, 6), (12, 3), (14, 1), (16, 6)], 2: [(7, 1), (11, 3), (13, 2), (16, 3)], 3: [(5, 1), (8, 1), (9, 2), (10, 6), (11, 2), (12, 1), (14, 1), (15, 4), (16, 1)], 4: [(12, 1), (15, 1), (20, 2), (22, 1), (26, 3), (29, 1), (31, 1)], 5: [(13, 4), (15, 1), (16, 1), (25, 1), (26, 4), (28, 6), (29, 1), (30, 1), (31, 2)], 6: [(11, 1), (17, 2), (18, 2), (24, 3), (29, 9)], 7: [(12, 1), (29, 1), (30, 12), (31, 4), (32, 1), (36, 1)]})",,"defaultdict(<class 'list'>, {})"
78,Name of wizard--Hogwarts professor,Lockhart,"defaultdict(<class 'list'>, {2: [(3, 2), (4, 21), (5, 1), (6, 30), (7, 21), (9, 11), (10, 16), (11, 26), (13, 9), (14, 2), (15, 5), (16, 35), (17, 7), (18, 10)], 4: [(15, 1), (20, 1)], 5: [(13, 1), (23, 5)], 6: [(19, 1)]})",,"defaultdict(<class 'list'>, {})"
81,Location,Hogsmeade,"defaultdict(<class 'list'>, {3: [(1, 4), (2, 4), (3, 2), (4, 1), (5, 4), (8, 15), (10, 9), (11, 1), (12, 2), (13, 1), (14, 12), (15, 1), (17, 1), (18, 1), (21, 1), (22, 2)], 4: [(8, 1), (11, 1), (12, 1), (19, 3), (24, 3), (26, 3), (27, 8), (29, 1), (37, 1)], 5: [(10, 1), (12, 1), (14, 1), (15, 1), (16, 7), (17, 1), (21, 1), (24, 3), (25, 5), (26, 2), (27, 2), (34, 1)], 6: [(7, 1), (8, 2), (12, 9), (13, 1), (18, 1), (19, 4), (21, 3), (25, 2), (27, 3), (30, 1)], 7: [(15, 2), (16, 2), (24, 1), (27, 2), (28, 2), (31, 1), (33, 1), (36, 1)]})",,"defaultdict(<class 'list'>, {})"
82,Magical creature--uncategorized,dementor,"defaultdict(<class 'list'>, {3: [(5, 10), (6, 1), (7, 1), (9, 1), (10, 7), (11, 1), (12, 23), (13, 2), (15, 1), (20, 3), (21, 1)], 4: [(31, 3), (36, 3)], 5: [(1, 5), (2, 1), (3, 1), (5, 1), (8, 4), (27, 2), (37, 1)], 6: [(6, 1), (8, 1), (11, 1), (21, 2), (25, 1)], 7: [(3, 1)]})",,"defaultdict(<class 'list'>, {})"
84,Magical creature--beast,Hippogriff,"defaultdict(<class 'list'>, {3: [(6, 10), (11, 10), (14, 1), (15, 2), (16, 4), (17, 1), (21, 10), (22, 1)], 4: [(2, 1), (12, 1), (14, 1), (24, 1), (27, 1)], 5: [(1, 1), (15, 2), (23, 1), (37, 1)], 6: [(3, 2), (11, 2), (25, 1), (28, 1)], 7: [(2, 1), (36, 1)]})",,"defaultdict(<class 'list'>, {})"
86,Magical artifact--transportation,Broomstick,"defaultdict(<class 'list'>, {1: [(6, 1), (9, 10), (10, 9), (11, 3), (12, 1), (13, 2), (16, 1)], 2: [(1, 2), (3, 1), (4, 1), (5, 1), (7, 3), (9, 2), (14, 2)], 3: [(1, 2), (2, 1), (3, 2), (6, 2), (9, 1), (10, 5), (11, 3), (12, 3), (13, 1)], 4: [(2, 2), (4, 1), (8, 4), (9, 2), (10, 2), (15, 1), (24, 1), (26, 1)], 5: [(1, 1), (3, 3), (9, 1), (13, 1), (20, 2), (26, 1), (28, 2), (29, 1), (33, 2)], 6: [(9, 1), (14, 1)], 7: [(4, 10), (10, 3), (13, 1), (17, 1), (31, 2), (33, 1), (36, 1)]})",,"defaultdict(<class 'list'>, {})"
87,Location--Diagon Alley,Gringotts,"defaultdict(<class 'list'>, {1: [(5, 12), (6, 3), (7, 1), (8, 6), (9, 1), (10, 1), (13, 1), (14, 1), (16, 1), (17, 1)], 2: [(4, 8), (13, 1)], 3: [(1, 1), (3, 2), (4, 2), (22, 1)], 4: [(5, 1), (10, 2)], 5: [(4, 1), (10, 2), (29, 1)], 6: [(3, 1), (4, 1), (5, 1)], 7: [(15, 4), (16, 1), (23, 2), (24, 9), (25, 4), (26, 9), (27, 3), (29, 2), (31, 1)]})",,"defaultdict(<class 'list'>, {})"
87,Magical artifact--money,Galleon,"defaultdict(<class 'list'>, {1: [(5, 1)], 2: [(4, 1)], 3: [(1, 1)], 4: [(7, 2), (21, 1)], 5: [(5, 1), (6, 1), (19, 4), (25, 2), (27, 1)], 6: [(13, 1), (17, 1)], 7: [(12, 1), (16, 1), (29, 3)]})",,"defaultdict(<class 'list'>, {})"
89,Magical creature--uncategorized,Basilisk,"defaultdict(<class 'list'>, {2: [(16, 14), (17, 13), (18, 2)], 4: [(17, 1)], 5: [(9, 1), (15, 1), (16, 1), (32, 1)], 7: [(6, 5), (15, 1), (22, 1), (31, 3)]})",,"defaultdict(<class 'list'>, {})"
90,Name of wizard--Hogwarts professor,Snape,"defaultdict(<class 'list'>, {1: [(7, 5), (8, 17), (9, 1), (10, 5), (11, 25), (12, 11), (13, 33), (14, 6), (15, 6), (16, 20), (17, 15)], 2: [(1, 1), (5, 19), (7, 2), (9, 13), (11, 33), (13, 6), (14, 2), (15, 5), (16, 4)], 3: [(1, 1), (5, 5), (7, 34), (8, 13), (9, 23), (10, 3), (11, 5), (12, 2), (14, 43), (15, 1), (16, 2), (18, 11), (19, 22), (20, 6), (21, 22), (22, 14)], 4: [(12, 3), (13, 2), (14, 5), (15, 2), (17, 8), (18, 20), (20, 1), (22, 2), (23, 7), (25, 41), (26, 13), (27, 51), (28, 11), (29, 1), (30, 7), (31, 2), (35, 11), (36, 15), (37, 5)], 5: [(4, 4), (6, 2), (12, 19), (13, 3), (15, 5), (16, 1), (17, 19), (19, 3), (24, 87), (25, 8), (26, 27), (27, 1), (28, 59), (29, 24), (30, 1), (31, 5), (32, 20), (37, 20), (38, 11)], 6: [(2, 59), (4, 3), (8, 25), (9, 27), (10, 1), (11, 5), (12, 4), (13, 2), (15, 22), (16, 14), (17, 7), (18, 5), (19, 12), (21, 17), (24, 29), (25, 22), (26, 1), (27, 9), (28, 34), (29, 30), (30, 12)], 7: [(1, 22), (2, 1), (5, 1), (6, 2), (9, 9), (10, 2), (11, 2), (12, 12), (14, 2), (15, 12), (16, 4), (22, 1), (23, 1), (24, 4), (27, 3), (28, 1), (29, 3), (30, 16), (31, 2), (32, 23), (33, 120), (34, 1), (35, 1), (36, 9)]})",,"defaultdict(<class 'list'>, {})"
91,Magical artifact--horcrux,Nagini,"defaultdict(<class 'list'>, {4: [(1, 5), (29, 1), (33, 3)], 6: [(23, 2)], 7: [(1, 1), (9, 1), (17, 1), (19, 2), (27, 2), (30, 1), (32, 4), (33, 1), (34, 3), (36, 2)]})",,"defaultdict(<class 'list'>, {})"
97,Name of magical language,Parseltongue,"defaultdict(<class 'list'>, {2: [(11, 3), (16, 3), (17, 1), (18, 4)], 4: [(31, 3)], 6: [(10, 7), (17, 2)], 7: [(17, 2), (19, 1), (22, 1), (27, 1), (31, 1), (32, 1)]})",,"defaultdict(<class 'list'>, {})"
99,Name of magical creature--goblin,Griphook,"defaultdict(<class 'list'>, {1: [(5, 12)], 7: [(15, 11), (23, 14), (24, 29), (25, 23), (26, 43)]})",,"defaultdict(<class 'list'>, {})"
105,Type of spell,curses,"defaultdict(<class 'list'>, {1: [(5, 3)], 3: [(1, 1), (12, 1)], 4: [(2, 1), (14, 11), (27, 2), (31, 1), (34, 2)], 5: [(6, 1), (12, 1), (18, 1), (20, 1), (27, 1), (35, 1), (36, 1)], 6: [(6, 1), (8, 1), (15, 1), (28, 2), (29, 2)], 7: [(4, 6), (6, 1), (17, 1), (26, 1), (29, 1), (32, 7), (34, 1), (36, 4)]})",,"defaultdict(<class 'list'>, {})"
